,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.0,0.97,0.79,1.18,1.01,0.88,1.06,1.39,0.99,1.21,1.06,1.12,0.98,1.18,1.12,1.13
d_1,1.01,1.0,1.08,0.93,0.92,0.93,0.99,1.12,1.25,0.81,1.11,0.93,1.03,0.8,1.09,1.06
f_1,1.27,0.91,1.0,1.07,0.89,0.95,0.82,0.94,0.9,1.04,0.89,0.94,0.93,1.03,0.86,0.95
c_1,0.87,1.04,0.94,1.0,1.45,0.92,1.03,0.67,0.92,0.96,0.81,0.99,0.98,0.94,0.97,0.83
b_1,0.98,1.08,1.12,0.68,1.0,1.62,1.05,0.94,1.04,1.0,0.96,0.96,1.11,1.07,0.98,0.9
a_1,1.1,1.06,1.08,1.1,0.63,1.0,1.12,1.09,0.96,1.15,1.17,1.13,1.06,1.1,0.99,1.02
h_1,0.94,1.05,1.24,0.96,0.93,0.87,1.0,0.93,0.9,1.17,0.92,0.91,0.96,1.09,0.91,1.05
d_0,0.72,0.88,1.04,1.49,1.11,0.92,1.11,1.0,0.78,1.1,1.03,0.94,0.95,0.97,0.98,1.04
c_0,1.04,0.83,1.13,1.11,0.95,0.96,1.03,1.26,1.0,0.95,1.29,1.04,1.07,1.03,1.05,1.16
g_1,0.79,1.21,0.95,1.02,1.01,0.88,0.87,0.93,1.05,1.0,1.1,1.17,0.85,0.93,1.09,0.95
b_0,0.96,0.93,1.2,1.18,1.02,0.81,1.06,0.95,0.75,0.95,1.0,0.93,1.08,1.13,0.9,1.34
f_0,0.88,1.06,1.06,1.05,1.02,0.91,1.07,1.08,1.0,0.84,1.08,1.0,1.04,0.9,1.3,1.0
h_0,1.0,0.98,1.12,1.04,0.9,0.91,1.01,1.07,0.91,1.18,0.94,0.98,1.0,1.15,0.83,0.9
g_0,0.85,1.25,1.0,1.07,0.96,0.93,0.88,0.99,0.96,1.09,0.86,1.14,0.86,1.0,0.96,0.93
e_0,0.93,0.92,1.18,1.05,1.08,0.92,1.1,1.01,1.01,0.87,1.09,0.8,1.15,1.08,1.0,1.01
a_0,0.88,0.91,1.09,1.19,1.09,1.07,1.02,0.97,0.89,1.06,0.75,0.98,1.11,1.03,0.94,1.0
