,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.25,0.88,1.01,0.93,0.92,0.92,1.15,0.87,1.0,0.97,0.84,1.0,0.9,0.8,1.02
e_1,0.8,1.0,1.01,1.21,0.98,1.02,1.04,1.13,0.99,1.43,1.05,1.12,1.06,1.06,1.09,1.06
d_1,1.14,1.01,1.0,0.97,0.94,0.93,0.96,0.82,1.31,0.92,1.11,0.95,0.96,0.96,1.02,0.84
c_1,1.01,0.83,1.03,1.0,1.4,0.95,1.0,1.0,0.89,0.71,0.85,1.03,0.95,0.99,0.95,1.02
b_1,1.07,1.02,1.07,0.74,1.0,1.33,1.08,1.06,1.09,0.95,0.96,1.04,0.85,0.98,0.98,0.96
a_1,1.06,0.98,1.06,1.05,0.75,1.0,1.05,0.95,0.97,1.0,1.17,1.03,1.13,1.11,1.18,1.17
h_1,1.11,0.95,1.04,0.95,0.94,0.92,1.0,1.11,0.87,0.94,0.94,1.02,1.03,1.08,0.91,1.2
g_1,0.92,0.89,1.22,0.98,0.91,0.96,0.89,1.0,1.09,0.96,1.0,1.19,0.94,0.95,1.06,1.1
c_0,1.13,1.01,0.77,1.11,0.91,0.98,1.16,0.93,1.0,1.22,1.46,1.03,1.14,1.01,1.06,1.13
d_0,0.94,0.69,1.16,1.41,1.06,0.98,1.04,1.04,0.79,1.0,0.9,1.03,0.96,1.07,1.04,1.01
b_0,1.01,0.96,0.89,1.23,1.04,0.84,1.1,1.01,0.69,1.09,1.0,0.95,1.38,1.15,1.15,1.07
f_0,1.21,0.91,1.05,0.94,0.98,0.97,1.01,0.83,0.92,1.01,1.05,1.0,1.02,1.06,1.45,0.82
a_0,1.01,0.95,1.02,1.08,1.12,0.86,0.99,1.04,0.9,1.01,0.72,0.98,1.0,1.15,1.04,1.02
h_0,1.1,0.94,1.06,0.98,1.02,0.89,0.94,1.07,0.97,0.91,0.87,0.95,0.88,1.0,0.9,1.13
e_0,1.27,0.99,0.99,1.01,1.01,0.74,1.09,0.87,0.97,0.95,0.91,0.7,1.01,1.14,1.0,0.91
g_0,0.96,0.92,1.18,0.98,1.04,0.86,0.83,0.89,0.93,0.93,0.91,1.17,1.01,0.89,1.1,1.0
