,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.47,0.89,0.98,0.83,0.72,0.58,0.72,0.58,0.52,0.61,0.77,0.53,0.56,0.53,0.42
e_1,0.68,1.0,1.04,1.02,1.03,1.01,0.61,0.69,0.98,0.73,0.69,0.68,0.54,0.6,0.6,0.5
d_1,1.12,0.96,1.0,0.94,0.94,0.8,0.79,0.6,0.73,0.83,0.69,0.62,0.64,0.56,0.41,0.57
c_1,1.02,0.98,1.06,1.0,1.21,0.98,0.75,0.64,0.47,0.61,0.53,0.69,0.59,0.66,0.56,0.51
b_1,1.21,0.97,1.06,0.83,1.0,1.18,0.93,0.69,0.64,0.76,0.58,0.6,0.71,0.45,0.73,0.69
a_1,1.4,0.99,1.25,1.02,0.85,1.0,0.92,0.83,0.74,0.78,0.78,0.79,0.87,0.89,0.55,0.59
h_1,1.84,1.62,1.26,1.31,1.13,1.02,1.0,1.02,0.99,0.87,0.92,0.73,0.86,0.77,1.2,0.86
g_1,1.38,1.36,1.65,1.53,1.39,1.2,0.99,1.0,1.02,0.94,0.85,1.15,0.73,0.95,0.87,0.77
d_0,1.81,0.96,1.39,2.18,1.45,1.29,1.07,0.96,1.0,0.84,0.98,0.81,0.83,0.74,0.84,0.98
c_0,2.21,1.4,1.19,1.62,1.31,1.37,1.1,1.07,1.06,1.0,1.42,0.77,1.09,1.04,1.08,0.94
b_0,1.78,1.42,1.46,2.03,1.52,1.26,1.13,1.15,0.96,0.69,1.0,0.86,0.91,1.15,0.92,0.95
f_0,1.22,1.48,1.68,1.45,1.63,1.33,1.32,0.81,1.22,1.31,1.09,1.0,0.95,0.94,0.87,1.29
h_0,1.97,1.8,1.58,1.75,1.36,1.17,1.17,1.39,1.22,0.92,1.05,0.99,1.0,0.93,1.09,0.86
a_0,1.91,1.54,1.81,1.48,2.05,1.28,1.27,1.04,1.37,0.91,0.87,1.12,1.1,1.0,1.03,1.08
g_0,1.85,1.61,2.36,1.87,1.42,1.67,0.82,1.11,1.22,0.9,1.11,1.1,0.92,0.94,1.0,0.92
e_0,2.4,1.83,1.76,1.95,1.5,1.34,1.14,1.36,1.04,1.03,1.12,0.75,1.22,0.95,1.05,1.0
