,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.75,1.18,0.87,0.96,0.75,0.46,0.6,0.43,0.46,0.42,0.41,0.4,0.3,0.31,0.33
f_1,1.35,1.0,0.92,0.92,0.73,0.66,0.41,0.44,0.39,0.42,0.39,0.37,0.28,0.33,0.3,0.3
c_1,0.85,1.08,1.0,1.17,1.25,0.65,0.51,0.3,0.32,0.43,0.33,0.35,0.36,0.34,0.33,0.32
d_1,1.16,1.09,0.86,1.0,0.91,0.68,0.51,0.53,0.54,0.39,0.49,0.45,0.35,0.38,0.33,0.26
b_1,1.05,1.39,0.81,1.09,1.0,1.43,0.57,0.5,0.54,0.5,0.36,0.38,0.37,0.35,0.38,0.38
a_1,1.33,1.52,1.52,1.44,0.7,1.0,0.65,0.64,0.58,0.62,0.65,0.49,0.54,0.4,0.39,0.46
h_1,2.09,2.46,1.98,1.98,1.75,1.5,1.0,0.87,0.89,0.99,0.76,0.75,0.66,0.63,0.68,0.73
d_0,1.68,2.27,3.29,2.0,1.99,1.69,1.15,1.0,0.76,0.92,0.95,0.89,0.77,0.73,0.71,0.77
c_0,2.46,2.52,2.68,1.88,1.74,1.74,1.09,1.24,1.0,1.07,1.42,0.88,0.8,0.76,0.74,0.78
g_1,2.18,2.27,2.28,2.59,2.09,1.67,0.98,1.03,0.95,1.0,0.99,1.17,0.65,0.78,0.78,0.75
b_0,2.43,2.56,2.91,2.07,2.65,1.57,1.26,1.09,0.7,1.06,1.0,0.92,0.85,1.01,0.7,0.85
f_0,2.25,2.81,2.96,2.24,2.54,2.14,1.31,1.11,1.11,0.87,1.08,1.0,0.92,0.79,1.03,0.69
h_0,2.55,3.69,2.72,2.78,2.61,1.92,1.54,1.31,1.26,1.5,1.14,1.08,1.0,0.9,0.92,1.0
a_0,3.35,3.01,2.91,2.67,2.68,2.79,1.57,1.42,1.34,1.24,0.95,1.31,1.12,1.0,0.84,1.01
e_0,3.05,3.67,3.0,3.29,2.55,2.52,1.54,1.4,1.33,1.36,1.4,0.92,1.09,1.31,1.0,0.84
g_0,3.13,3.33,3.1,3.88,2.67,2.16,1.35,1.29,1.3,1.31,1.16,1.43,0.99,1.06,1.15,1.0
