,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,10804.24,3340.99,6861.21,4874.59,7201.47,16402.98,3921045.39,10516641.8,8109024.62,12494557.9,23109240.22,15132720.93,85954652.45,97641121.36,94020298.81,236283343.29
d_1,3278.03,15037.25,3258.85,3897.57,7511.54,28519.22,3915847.66,5377905.45,9741420.57,27386240.16,22909160.22,36861324.17,110901672.6,154019848.0,199855752.55,267064420.37
e_1,2932.67,3339.76,15020.35,6273.87,6869.08,28702.85,3641517.97,20027157.35,8257015.48,13344274.35,24109186.6,40372629.67,102823905.9,112376738.54,108663543.68,254818168.72
c_1,2738.05,3591.1,3163.1,22466.43,13688.73,29868.33,3008230.62,11042737.55,8473068.42,5666425.51,18151315.42,33137941.67,99927933.34,118545532.46,139588327.88,267144843.66
b_1,2316.41,4297.22,3424.22,4493.02,38501.09,56214.66,3811949.85,9340206.79,7889948.12,12577593.92,8788384.51,33503976.72,109734885.91,78283667.45,155579236.08,294659648.6
a_1,3231.1,3961.62,3559.39,4610.21,8749.55,188282.97,3659502.92,10636362.95,9003979.88,14152170.46,19173428.33,37242504.72,107193441.81,67808760.43,220980302.86,238205856.24
h_1,4409.74,4210.88,4395.89,7551.28,7584.84,32943.07,11523618.34,11518297.38,15375834.42,15930560.08,28415296.66,43688408.98,77508891.06,131340502.27,210217019.59,441280632.97
d_0,3323.93,2795.38,3691.1,13038.79,9148.24,31787.55,4832346.33,23739480.74,9401353.31,12133921.2,32757535.22,50107066.32,110707244.7,154718821.92,223244050.51,305790655.63
g_1,3202.37,6748.84,3584.51,6839.72,8742.56,27706.36,4772584.9,11530202.4,32360990.43,16670969.84,27835607.75,67490487.41,127366657.73,172956272.99,246429634.39,254816650.37
c_0,3766.97,4016.72,4986.22,4350.11,6733.72,37739.72,4956858.32,14995749.23,11233816.01,34682676.38,60842525.42,52580981.28,132329214.05,159338295.45,236600532.17,382416824.83
b_0,3588.22,4571.4,4442.93,7583.48,5247.23,29337.25,5292121.61,14378951.46,12578608.74,16287442.43,56589395.14,45810436.19,159257438.0,332080790.59,290019856.47,372939939.78
f_0,2496.4,4703.4,3332.77,7183.4,10662.53,40245.88,4548183.74,14335184.36,11628403.8,20907793.33,26759009.53,98569216.79,120194490.66,158983950.16,489605984.05,349133750.79
h_0,5334.46,4392.73,4126.38,6442.88,8086.39,28190.66,3455809.69,13554113.05,15564995.65,15219085.96,23605074.71,43802203.67,81026437.42,143562226.6,226787606.87,423995446.88
a_0,3141.45,4752.91,4223.7,6562.94,10033.64,21464.47,6180012.03,15196183.05,10093642.81,21577404.63,28908358.14,57768958.96,167389832.9,407263369.14,238779747.6,438128628.45
e_0,4215.15,4408.41,2420.46,7578.98,8317.81,37516.69,5654582.29,13607914.77,14106840.31,19795889.1,31122484.67,44095055.08,164476976.07,210201426.34,625737224.04,321378019.72
g_0,3120.92,6394.17,3478.34,6594.14,8920.28,39141.09,3888855.81,11904651.37,6903378.18,18086942.12,28316052.06,70555902.58,101906866.23,165518802.43,275917973.54,226795995.9
