,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.87,1.16,1.11,1.4,3.97,18.2,20.65,45.86,33.81,47.6,41.41,71.9,75.83,98.95,
f_1,1.15,1.0,1.3,1.13,1.42,4.51,15.85,30.77,27.42,30.01,37.42,,61.46,51.09,158.36,99.32
d_1,0.86,0.77,1.0,1.24,1.5,3.97,18.77,17.74,,34.84,32.01,27.0,53.11,62.04,87.92,
c_1,0.9,0.89,0.81,1.0,1.95,2.84,13.61,19.02,16.71,,25.19,28.18,59.53,66.15,102.62,111.65
b_1,0.71,0.7,0.66,0.51,1.0,2.52,8.34,11.06,16.25,14.95,,31.64,38.03,39.55,55.47,61.15
a_1,0.25,0.22,0.25,0.35,0.4,1.0,,5.29,8.63,8.62,7.8,8.0,,20.3,24.03,
h_1,0.05,0.06,0.05,0.07,0.12,,1.0,1.46,1.51,1.79,2.06,2.2,3.13,,10.24,7.82
g_1,0.05,0.03,0.06,0.05,0.09,0.19,0.68,1.0,1.08,1.13,1.19,2.39,2.97,1.99,,6.3
d_0,0.02,0.04,,0.06,0.06,0.12,0.66,0.93,1.0,0.88,1.29,1.68,1.96,2.54,4.27,3.57
c_0,0.03,0.03,0.03,,0.07,0.12,0.56,0.88,1.14,1.0,1.56,1.95,2.14,2.23,3.44,3.22
b_0,0.02,0.03,0.03,0.04,,0.13,0.49,0.84,0.78,0.64,1.0,1.08,2.34,2.42,3.58,2.63
f_0,0.02,,0.04,0.04,0.03,0.13,0.45,0.42,0.6,0.51,0.93,1.0,1.47,2.88,1.9,4.04
a_0,0.01,0.02,0.02,0.02,0.03,,0.32,0.34,0.51,0.47,0.43,0.68,1.0,0.63,1.39,
h_0,0.01,0.02,0.02,0.02,0.03,0.05,,0.5,0.39,0.45,0.41,0.35,1.58,,1.93,1.33
g_0,0.01,0.01,0.01,0.01,0.02,0.04,0.1,,0.23,0.29,0.28,0.53,0.72,0.52,,0.99
e_0,,0.01,,0.01,0.02,,0.13,0.16,0.28,0.31,0.38,0.25,,0.75,1.01,1.0
