,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.94,0.45,0.38,0.5,0.41,0.28,0.29,0.48,0.27,0.25,0.29,0.28,0.18,0.24,0.14,0.23
f_1,0.73,0.95,0.45,0.42,0.33,0.24,0.27,0.26,0.26,0.27,0.23,0.14,0.22,0.23,0.15,0.19
d_1,0.54,0.49,0.95,0.37,0.36,0.29,0.35,0.2,0.25,0.45,0.3,0.24,0.23,0.26,0.23,0.21
c_1,0.47,0.48,0.48,0.94,0.64,0.3,0.33,0.24,0.22,0.15,0.2,0.23,0.19,0.27,0.19,0.25
b_1,0.45,0.56,0.55,0.42,0.94,0.52,0.32,0.31,0.27,0.28,0.15,0.26,0.18,0.26,0.24,0.19
a_1,0.62,0.64,0.48,0.59,0.4,0.94,0.42,0.29,0.31,0.33,0.35,0.29,0.16,0.29,0.21,0.24
h_1,0.82,1.01,0.71,0.66,0.61,0.38,0.77,0.41,0.41,0.38,0.37,0.32,0.33,0.31,0.29,0.4
d_0,0.66,0.81,0.57,1.29,0.66,0.53,0.51,0.67,0.46,0.34,0.45,0.4,0.37,0.45,0.31,0.34
g_1,0.72,0.64,1.07,0.8,0.65,0.46,0.56,0.43,0.75,0.51,0.41,0.55,0.4,0.39,0.36,0.34
c_0,0.88,0.87,0.76,0.74,0.49,0.44,0.63,0.56,0.47,0.67,0.77,0.43,0.43,0.43,0.35,0.43
b_0,0.83,0.99,0.77,0.92,0.58,0.42,0.65,0.51,0.51,0.41,0.66,0.44,0.69,0.46,0.35,0.39
f_0,0.65,0.79,0.95,0.91,0.76,0.52,0.67,0.53,0.44,0.51,0.51,0.64,0.43,0.47,0.66,0.4
a_0,1.1,0.86,0.82,0.93,0.83,0.51,0.67,0.55,0.46,0.45,0.37,0.46,0.65,0.5,0.39,0.38
h_0,0.95,1.16,0.92,0.83,0.69,0.46,0.44,0.52,0.6,0.51,0.46,0.45,0.39,0.39,0.35,0.54
e_0,0.69,1.09,0.94,0.91,0.76,0.69,0.64,0.52,0.52,0.62,0.59,0.42,0.42,0.57,0.62,0.44
g_0,0.88,0.93,1.27,0.84,0.93,0.49,0.59,0.52,0.37,0.5,0.5,0.67,0.42,0.47,0.44,0.35
