,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.44,1.72,1.02,1.02,1.1,1.05,2.2,2.2,2.58,2.22,1.5,2.37,2.74,1.93,2.62,2.57
e_1,1.1,2.45,1.39,1.04,1.03,1.2,2.13,2.06,3.94,2.36,2.83,2.66,2.97,2.07,2.7,3.21
c_1,1.19,0.96,2.51,1.18,1.8,0.84,2.33,2.21,2.1,1.41,2.39,1.85,3.24,2.71,2.34,3.32
d_1,1.31,1.08,0.98,2.55,1.13,0.9,2.23,1.91,1.88,4.15,2.53,2.43,3.19,2.52,2.25,3.26
b_1,1.13,1.1,1.06,1.06,2.72,2.11,2.38,1.94,2.23,2.48,2.26,1.61,2.74,2.51,2.38,2.8
a_1,1.18,1.23,1.41,1.24,0.79,3.36,2.1,2.37,2.35,1.88,2.75,3.32,3.21,3.16,1.65,2.7
h_1,1.55,1.18,1.19,1.26,1.08,1.15,3.98,3.14,2.61,2.53,2.57,2.57,2.42,2.95,2.35,4.01
g_1,1.15,1.04,1.17,1.9,1.24,1.16,1.95,4.44,2.43,2.71,3.88,2.78,2.74,2.54,2.86,2.43
d_0,1.22,1.11,2.04,0.74,1.3,1.33,2.25,2.51,3.74,2.08,2.86,2.79,3.35,2.66,3.11,3.38
c_0,1.47,1.26,1.18,1.21,0.88,1.32,2.3,2.46,2.95,4.0,2.74,4.98,3.77,2.93,3.22,4.05
f_0,0.98,1.01,1.46,1.43,1.4,1.23,2.41,2.02,2.97,2.72,4.22,3.11,3.64,4.54,2.57,2.9
b_0,1.31,1.23,1.34,1.51,0.78,0.88,2.44,2.8,2.75,2.34,2.58,4.42,3.98,2.61,5.02,3.31
h_0,1.56,1.23,1.29,1.32,1.24,1.08,2.01,3.34,2.71,2.65,2.61,2.65,2.75,2.73,3.12,4.04
e_0,1.51,0.77,1.29,1.39,1.26,1.24,2.28,2.73,2.66,3.1,2.53,3.65,3.77,4.87,3.25,3.34
a_0,1.25,1.14,1.44,1.53,1.16,0.89,2.85,2.51,2.59,2.69,2.57,2.44,3.54,2.37,4.89,3.9
g_0,1.11,1.13,1.12,1.68,1.33,1.19,2.11,2.03,2.41,2.69,4.02,2.99,3.38,3.27,2.81,2.69
