,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.07,2.09,3.83,3.21,3.17,2.99,1.53,1.1,0.87,1.01,0.9,1.05,0.83,0.82,1.7,0.76
f_1,4.16,1.07,2.99,3.21,3.02,3.12,0.93,0.96,1.02,1.27,0.94,1.5,0.8,0.57,0.71,0.7
c_1,2.93,4.17,1.07,4.36,3.38,2.57,1.34,0.71,1.99,1.13,0.95,1.04,0.83,0.77,1.01,0.78
d_1,4.26,3.79,2.9,1.07,3.21,3.22,1.35,2.55,1.02,0.9,1.05,1.12,0.95,0.82,0.81,0.49
b_1,3.75,4.44,2.4,3.7,1.07,3.93,1.41,1.15,1.22,1.34,1.63,1.0,1.07,0.79,0.96,0.83
a_1,4.99,4.77,6.43,5.41,3.56,1.07,2.29,1.73,1.65,2.04,1.55,1.47,2.59,1.21,1.61,1.32
h_1,6.46,8.89,8.56,6.53,7.16,5.29,1.38,2.77,2.4,3.61,2.26,2.15,1.89,3.74,1.74,1.78
d_0,5.25,8.92,12.22,12.77,8.89,5.9,3.18,1.59,2.66,3.87,2.74,2.15,1.97,1.9,1.95,2.25
c_0,9.68,9.01,20.72,5.98,9.35,7.42,3.19,2.81,1.62,3.85,2.87,2.34,1.94,1.89,1.85,1.64
g_1,12.07,10.75,9.65,8.57,9.64,7.72,2.27,2.85,2.4,1.38,2.28,2.43,2.28,1.61,1.94,4.32
b_0,10.83,10.02,12.28,8.33,22.05,8.22,3.33,3.56,1.8,3.55,1.61,2.2,3.47,2.14,2.3,2.07
f_0,8.3,21.0,10.83,10.48,11.03,9.28,4.22,3.51,2.82,2.91,3.03,1.61,2.9,2.74,3.26,1.65
a_0,12.67,13.95,13.69,11.58,14.81,14.77,5.26,4.39,3.37,4.33,1.98,2.97,1.72,3.36,3.64,2.63
h_0,12.09,15.93,13.02,10.84,13.0,11.84,5.98,3.63,3.85,4.93,3.62,2.84,3.36,3.98,2.77,3.46
e_0,18.42,15.63,14.34,11.88,15.16,10.68,5.11,4.65,4.65,5.19,5.39,2.36,4.29,2.95,1.69,3.7
g_0,13.46,13.2,16.52,17.23,13.82,9.1,5.23,4.92,5.19,,3.95,4.47,4.83,2.46,3.32,5.24
