,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.51,1.11,0.73,0.73,0.66,0.46,0.72,0.87,0.76,0.82,0.78,0.52,0.9,0.76,0.84,0.55
e_1,0.73,1.52,0.7,0.84,0.69,0.58,0.83,1.48,0.81,0.81,0.93,0.99,0.98,0.67,0.99,0.65
d_1,0.91,0.76,1.54,0.59,0.71,0.56,0.82,0.58,0.73,1.44,0.91,0.82,0.9,0.87,0.76,0.76
c_1,0.77,0.69,0.82,1.56,1.13,0.54,0.79,0.65,0.78,0.47,0.66,0.9,0.87,0.75,0.79,0.63
b_1,0.79,0.75,0.72,0.7,1.6,1.17,0.92,0.91,0.76,0.84,0.59,0.79,0.78,0.56,0.9,0.7
a_1,0.96,0.87,0.85,0.89,0.53,1.77,1.32,0.98,1.01,0.82,1.15,0.79,1.17,0.63,0.83,0.78
h_1,1.29,0.98,1.11,1.05,0.83,0.61,1.76,0.93,1.28,0.98,1.13,0.96,0.99,0.81,1.39,0.9
d_0,0.98,0.77,0.69,1.81,1.1,0.89,1.29,1.66,0.93,0.88,1.21,1.13,1.1,0.83,1.35,1.21
g_1,1.07,0.98,1.47,0.87,0.91,0.66,0.99,1.09,1.84,1.34,1.13,1.69,1.31,1.1,0.93,0.93
c_0,1.14,1.18,0.93,0.94,0.81,0.87,1.17,1.22,1.06,1.67,2.04,1.27,1.48,1.16,1.25,1.06
b_0,1.11,1.08,1.18,1.22,0.75,0.68,1.23,1.17,1.07,1.08,1.66,1.06,1.46,1.74,1.12,1.11
f_0,0.93,0.84,1.17,1.13,1.09,0.86,1.27,1.33,1.01,1.21,1.45,1.72,1.45,1.25,1.02,1.93
h_0,1.43,1.1,1.2,1.02,1.05,0.73,0.91,1.21,1.28,1.17,1.24,1.05,0.99,1.07,1.52,0.93
a_0,1.06,1.22,1.24,1.17,1.19,0.77,1.48,1.27,1.11,1.06,1.06,1.22,1.3,1.71,1.53,0.91
g_0,1.05,0.94,1.58,1.26,0.95,0.82,1.22,1.23,0.93,1.19,1.35,1.8,1.1,1.0,1.08,1.09
e_0,1.25,0.74,1.08,1.35,1.18,1.0,1.29,1.25,1.18,1.22,1.5,1.12,1.77,1.13,1.35,1.81
