,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.2,0.96,0.91,0.86,0.78,0.62,0.68,0.7,0.59,0.6,0.6,0.52,0.49,0.57,0.59
e_1,0.84,1.0,1.17,0.92,0.98,0.84,0.68,0.71,0.87,0.62,0.72,0.61,0.61,0.59,0.64,0.59
c_1,1.03,0.85,1.0,1.1,1.27,0.73,0.73,0.68,0.49,0.57,0.62,0.53,0.62,0.6,0.56,0.58
d_1,1.06,1.06,0.91,1.0,0.97,0.83,0.7,0.55,0.7,0.84,0.63,0.65,0.61,0.57,0.55,0.53
b_1,1.12,1.06,0.81,1.05,1.0,1.39,0.82,0.72,0.62,0.73,0.67,0.7,0.63,0.61,0.56,0.59
a_1,1.26,1.19,1.35,1.22,0.75,1.0,0.88,0.87,0.83,0.75,0.82,0.89,0.8,0.73,0.71,0.69
h_1,1.62,1.41,1.34,1.39,1.22,1.09,1.0,1.06,0.9,0.9,0.91,0.92,0.86,0.79,0.77,0.89
g_1,1.54,1.46,1.49,1.8,1.35,1.09,0.93,1.0,0.87,0.98,1.15,0.89,0.77,0.88,0.8,0.82
d_0,1.47,1.19,2.1,1.42,1.57,1.2,1.06,1.13,1.0,0.82,0.99,0.89,0.96,0.84,0.85,0.82
c_0,1.67,1.58,1.82,1.24,1.39,1.36,1.07,1.02,1.16,1.0,0.98,1.27,1.03,0.98,1.01,0.91
f_0,1.63,1.39,1.66,1.64,1.49,1.19,1.12,0.85,0.96,1.0,1.0,1.0,1.01,1.12,0.85,0.74
b_0,1.67,1.66,1.82,1.53,1.4,1.14,1.11,1.17,1.09,0.79,0.95,1.0,1.03,0.88,1.23,0.85
h_0,1.92,1.61,1.63,1.64,1.51,1.27,1.16,1.3,1.08,0.97,1.01,0.98,1.0,0.94,0.91,0.98
e_0,2.1,1.86,1.59,1.72,1.64,1.4,1.25,1.09,1.13,1.03,0.91,1.2,1.12,1.0,0.96,0.81
a_0,1.79,1.6,1.8,1.93,1.67,1.4,1.26,1.29,1.11,1.06,1.11,0.82,1.06,1.03,1.0,0.91
g_0,1.71,1.67,1.76,1.87,1.69,1.48,1.12,1.19,1.2,1.13,1.31,1.19,1.0,1.12,1.05,1.0
