,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.07,11.28,9.49,7.27,8.77,,3.56,2.41,3.04,,2.91,2.36,2.32,2.94,2.16,1.33
e_1,9.87,1.07,5.95,7.85,8.09,7.91,4.0,3.67,2.6,3.86,2.38,2.96,1.93,2.92,,2.28
f_1,8.59,11.6,1.07,10.58,9.0,7.79,2.86,5.1,2.59,2.54,2.82,,1.58,2.39,2.44,1.79
c_1,13.92,10.04,8.44,1.07,12.75,10.68,4.38,3.14,,1.9,3.66,3.67,2.27,,,2.85
b_1,12.45,14.82,11.5,7.03,1.07,,3.74,3.77,4.32,2.96,,3.48,1.75,3.62,4.02,2.77
a_1,,13.02,14.84,15.52,,1.07,4.7,6.29,4.04,4.28,5.87,3.73,5.21,,,2.54
h_1,12.44,14.3,16.14,11.66,11.33,13.98,1.41,6.14,4.44,3.93,3.46,3.25,,2.86,3.54,3.17
g_1,17.52,16.04,16.59,16.6,14.81,11.78,4.42,1.41,5.78,4.48,5.24,5.87,2.59,4.32,5.18,
c_0,9.81,17.2,15.15,,12.48,16.74,5.77,4.38,1.79,4.56,4.37,4.02,2.97,2.61,3.49,2.61
d_0,,8.76,16.81,16.67,14.83,11.46,5.32,6.52,4.35,1.76,5.63,4.3,3.15,4.89,3.47,3.61
b_0,15.2,15.21,14.72,16.68,,14.77,6.73,5.19,2.7,4.18,1.73,4.19,5.21,5.68,4.54,5.03
f_0,16.95,21.36,,13.37,17.17,11.68,7.23,3.95,4.8,5.14,6.43,1.76,4.59,4.06,4.49,2.08
h_0,15.29,16.05,17.25,16.4,25.08,10.74,,6.56,4.39,5.08,3.99,3.92,,3.56,3.89,4.78
a_0,18.83,17.31,22.02,,21.51,,9.39,8.37,7.5,6.54,3.25,5.3,4.89,1.78,,4.46
e_0,20.88,,23.28,,14.91,,7.65,6.01,7.28,5.39,7.78,3.73,5.26,,1.72,5.75
g_0,19.39,19.23,27.7,13.97,15.16,16.52,5.0,,6.19,5.75,3.88,7.53,3.28,5.56,4.45,
