,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.06,1.36,2.21,2.29,2.25,1.71,0.77,0.93,0.59,0.7,0.65,0.7,0.46,0.56,0.74,0.49
f_1,2.35,1.06,1.92,2.06,1.93,1.47,0.62,0.8,0.58,0.62,0.58,0.63,0.36,0.52,0.48,0.5
d_1,2.44,2.38,1.05,1.98,1.97,1.89,0.86,0.56,0.7,1.07,0.63,0.53,0.43,0.55,0.58,0.33
c_1,1.89,2.28,2.98,1.06,2.74,2.08,0.9,0.75,0.9,0.44,0.63,0.62,0.52,0.68,0.51,0.46
b_1,2.42,2.99,2.34,1.44,1.06,2.93,1.15,0.96,0.98,0.8,1.13,0.71,0.72,0.54,0.63,0.55
a_1,3.59,4.52,2.9,3.58,1.66,1.07,1.28,1.17,0.94,1.26,1.07,0.73,0.8,1.7,0.86,0.77
h_1,5.54,5.7,5.41,5.69,4.65,4.05,1.3,2.22,1.55,1.6,1.54,1.51,1.4,1.42,1.13,1.38
g_1,5.76,6.53,6.75,6.94,6.68,5.31,1.79,1.33,2.12,1.83,1.62,1.83,1.24,1.46,1.56,1.48
c_0,7.33,7.53,4.2,12.0,5.68,5.5,2.57,2.3,1.46,2.62,2.25,1.9,1.45,1.75,1.68,1.42
d_0,4.51,6.72,8.63,7.66,7.07,4.84,2.72,2.76,1.91,1.5,2.14,2.07,1.68,1.54,1.49,1.65
b_0,6.47,7.44,6.58,9.32,8.43,5.48,2.69,2.69,1.25,1.9,1.47,1.7,1.53,1.97,1.76,1.28
f_0,7.01,14.64,8.4,7.71,7.4,7.18,3.09,2.16,2.41,2.4,2.38,1.59,2.1,1.86,2.53,1.14
h_0,10.17,11.06,9.04,9.43,7.17,7.45,4.96,3.44,2.82,2.86,2.8,2.2,2.56,2.04,2.48,2.46
a_0,9.26,9.67,9.04,9.12,12.31,8.64,3.55,3.64,2.56,3.3,1.75,2.9,2.82,1.6,2.44,1.79
e_0,12.45,12.26,9.66,9.07,9.28,9.58,4.47,3.43,3.16,3.24,3.16,1.78,2.22,2.81,1.62,2.62
g_0,9.53,11.45,11.98,10.84,10.81,7.4,3.45,4.75,3.18,2.85,3.66,3.72,1.85,2.79,2.52,2.88
