,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.2,1.11,0.89,0.88,0.8,0.63,0.55,0.59,0.58,0.55,0.48,0.49,0.47,0.58,0.5
e_1,0.83,1.0,0.94,0.76,0.94,0.81,0.71,0.99,0.82,0.61,0.65,0.72,0.65,0.81,0.69,0.58
c_1,0.9,1.07,1.0,1.17,1.45,0.92,0.71,0.47,0.67,0.49,0.54,0.54,0.54,0.43,0.47,0.6
d_1,1.13,1.31,0.85,1.0,0.86,0.71,0.79,0.68,0.55,0.89,0.71,0.57,0.67,0.68,0.58,0.49
b_1,1.14,1.07,0.69,1.17,1.0,1.56,0.66,0.8,0.64,0.77,0.68,0.71,0.61,0.61,0.49,0.54
a_1,1.25,1.23,1.09,1.4,0.64,1.0,0.86,1.0,0.82,0.73,0.76,0.73,0.75,0.71,0.66,0.74
h_1,1.66,1.35,1.46,1.26,1.48,1.1,1.0,0.88,1.1,0.89,0.76,0.78,0.84,0.79,0.67,0.8
d_0,1.89,0.95,2.21,1.62,1.23,0.96,1.15,1.0,1.13,0.99,0.94,0.8,0.89,0.97,0.88,0.9
g_1,1.71,1.17,1.46,1.84,1.57,1.21,0.91,0.9,1.0,1.0,0.94,1.08,0.71,0.92,0.84,0.7
c_0,1.84,1.61,2.21,1.11,1.24,1.28,1.07,1.11,0.98,1.0,1.52,1.12,0.85,0.82,1.04,0.84
b_0,1.86,1.42,1.98,1.4,1.8,1.27,1.46,1.06,1.05,0.67,1.0,1.05,0.87,1.01,1.24,0.94
f_0,1.94,1.46,1.84,1.67,1.49,1.41,1.23,1.19,0.94,0.89,0.98,1.0,0.99,1.16,0.84,0.74
h_0,2.15,1.53,1.98,1.5,1.55,1.38,1.13,1.09,1.38,1.22,1.15,1.02,1.0,1.06,0.89,1.23
e_0,2.2,1.19,2.42,1.35,1.69,1.28,1.29,0.98,1.09,1.19,1.0,0.92,0.94,1.0,0.92,0.96
a_0,1.76,1.39,2.12,1.62,2.02,1.59,1.41,1.17,1.21,0.94,0.8,1.16,1.15,1.11,1.0,1.15
g_0,1.92,1.69,1.8,1.97,1.87,1.39,1.26,1.13,1.25,1.06,0.97,1.33,0.82,1.0,0.79,1.0
