,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.66,0.95,1.15,1.07,1.09,0.8,0.4,0.42,0.51,0.37,0.39,0.42,0.24,0.37,0.28,0.31
d_1,1.24,0.64,1.15,1.0,0.96,0.94,0.5,0.49,0.36,0.51,0.4,0.38,0.33,0.37,0.38,0.24
e_1,0.74,1.11,0.65,1.3,1.09,1.0,0.5,0.53,0.53,0.38,0.43,0.53,0.34,0.38,0.55,0.38
c_1,1.15,1.43,0.88,0.64,1.36,1.18,0.45,0.25,0.45,0.45,0.35,0.37,0.33,0.36,0.36,0.31
b_1,1.23,1.21,1.25,0.76,0.62,1.13,0.64,0.46,0.54,0.53,0.54,0.41,0.38,0.39,0.42,0.37
a_1,1.78,1.37,1.4,1.21,0.81,0.58,0.64,0.53,0.68,0.48,0.53,0.45,0.47,0.54,0.45,0.34
h_1,1.83,1.66,1.75,2.01,1.6,1.41,0.55,0.66,0.78,0.58,0.61,0.58,0.6,0.51,0.53,0.56
d_0,1.84,2.42,1.2,2.35,2.11,1.78,0.92,0.59,0.85,0.58,0.69,0.69,0.57,0.59,0.64,0.53
g_1,1.93,1.92,1.82,2.05,1.82,1.63,0.68,0.73,0.53,0.73,0.7,0.7,0.45,0.7,0.58,0.69
c_0,2.14,1.24,2.03,2.78,1.84,1.73,1.0,1.06,0.86,0.56,0.93,0.67,0.61,0.68,0.66,0.56
b_0,2.0,1.86,1.79,2.42,2.87,1.66,0.91,0.68,0.82,0.45,0.56,0.67,0.62,0.79,0.74,0.57
f_0,2.74,2.0,1.86,2.26,2.03,1.9,0.89,0.73,0.75,0.74,0.75,0.55,0.67,0.66,0.86,0.42
h_0,2.4,2.12,2.18,2.21,2.08,1.82,1.15,0.82,1.1,0.76,0.73,0.74,0.73,0.63,0.62,0.74
a_0,2.51,2.18,2.15,2.3,3.05,2.59,1.17,0.91,0.88,0.8,0.51,0.78,0.74,0.54,0.67,0.62
e_0,3.65,2.13,2.23,2.61,2.53,2.04,1.08,0.85,0.94,0.79,0.74,0.48,0.71,0.9,0.52,0.54
g_0,2.76,2.59,2.22,2.3,2.23,2.42,0.88,0.89,1.05,0.82,0.84,0.89,0.56,0.74,0.85,0.82
