,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.87,0.74,1.22,0.85,1.09,1.01,1.0,1.03,1.2,1.15,1.14,1.1,0.91,,0.88
d_1,1.15,1.0,0.96,0.95,1.12,1.12,1.03,0.73,1.31,,0.97,0.87,1.32,0.84,1.12,0.69
f_1,1.35,1.04,1.0,0.82,1.02,0.9,0.96,1.09,0.99,1.04,,0.95,0.81,1.05,0.82,1.11
c_1,0.82,1.05,1.22,1.0,1.71,0.96,0.88,1.0,,0.69,1.13,0.69,1.07,1.08,1.06,1.04
b_1,1.17,0.89,0.98,0.59,1.0,1.4,1.11,0.89,0.94,0.95,0.98,,1.14,1.18,,1.11
a_1,0.92,0.89,1.11,1.04,0.72,1.0,0.93,1.2,0.97,1.18,,1.26,1.07,,0.9,1.17
h_1,0.99,0.97,1.04,1.13,0.9,1.08,1.0,1.02,0.95,0.85,1.0,1.11,,0.85,0.72,1.36
g_1,1.0,1.36,0.92,1.0,1.12,0.84,0.98,1.0,0.95,1.21,1.06,1.08,0.6,1.0,0.87,
c_0,0.97,0.76,1.01,,1.06,1.03,1.05,1.06,1.0,1.29,0.95,1.26,0.72,1.16,1.11,1.09
d_0,0.83,,0.96,1.46,1.05,0.85,1.17,0.83,0.77,1.0,1.12,1.17,1.02,0.97,0.75,0.91
f_0,0.87,1.03,,0.89,1.02,,1.0,0.94,1.05,0.89,1.0,1.03,1.2,,1.64,0.83
b_0,0.88,1.15,1.05,1.44,,0.79,0.9,0.93,0.79,0.85,0.97,1.0,1.43,1.69,0.83,0.74
h_0,0.91,0.76,1.24,0.94,0.88,0.93,,1.67,1.4,0.99,0.84,0.7,,0.86,0.93,1.22
a_0,1.1,1.19,0.96,0.92,0.85,,1.18,1.0,0.86,1.03,,0.59,1.16,1.0,,1.2
e_0,,0.89,1.22,0.94,,1.11,1.39,1.15,0.9,1.34,0.61,1.21,1.07,,1.0,1.0
g_0,1.14,1.46,0.9,0.96,0.9,0.85,0.74,,0.92,1.1,1.21,1.35,0.82,0.83,1.0,
