,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.43,1.81,1.2,1.21,1.14,1.02,2.07,2.14,2.61,2.5,2.69,1.91,3.09,2.62,1.91,3.2
e_1,1.17,2.46,1.55,1.09,1.24,1.06,2.39,2.76,4.34,2.8,2.9,2.85,3.2,2.76,1.91,3.57
c_1,1.2,0.98,2.54,1.43,1.88,1.22,2.2,2.33,2.32,1.31,2.26,2.5,3.45,2.54,2.97,3.12
d_1,1.32,1.23,1.02,2.56,1.32,1.14,2.42,2.15,1.71,4.26,3.29,2.85,3.47,2.9,3.02,2.85
b_1,1.26,1.15,1.12,1.15,2.73,2.16,2.49,2.4,2.87,2.97,1.55,2.83,3.08,2.48,3.02,3.5
a_1,1.33,1.44,1.15,1.51,0.93,3.31,2.71,2.37,2.34,2.66,2.82,2.64,3.14,1.66,2.57,2.54
h_1,1.66,1.29,1.38,1.43,1.29,1.08,4.03,3.2,2.8,2.82,2.89,2.7,3.04,2.92,2.94,5.33
g_1,1.29,0.94,1.4,1.97,1.32,1.33,2.37,4.5,2.69,3.04,3.05,4.44,3.31,3.62,3.76,2.95
d_0,1.28,1.13,2.31,1.01,1.3,1.38,2.61,2.45,3.93,2.31,3.23,2.88,3.88,2.83,3.15,4.25
c_0,1.62,1.3,1.2,1.26,1.1,1.53,2.96,2.31,3.26,4.01,4.88,3.0,4.01,3.64,3.66,3.5
b_0,1.5,1.42,1.58,1.3,1.05,1.2,2.54,2.7,2.84,2.57,4.32,2.97,4.24,5.26,3.32,4.28
f_0,1.17,1.06,1.66,1.36,1.33,1.56,3.09,2.53,3.32,3.23,2.71,4.55,4.08,2.47,5.93,3.83
h_0,1.82,1.38,1.38,1.38,1.34,1.27,1.78,3.35,2.66,2.59,2.7,2.98,3.08,2.95,2.43,4.74
a_0,1.54,1.47,1.48,1.32,1.44,1.26,2.72,2.04,2.37,2.58,2.5,2.98,3.94,4.89,2.11,3.7
e_0,1.67,0.98,1.41,1.26,1.37,1.6,2.84,2.87,3.31,2.69,2.89,2.86,4.89,3.42,5.22,3.71
g_0,1.24,1.23,1.47,1.89,1.24,1.47,2.16,2.51,2.62,2.91,2.49,4.17,3.55,3.07,3.27,2.93
