,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.01,0.13,0.08,0.1,0.1,0.13,0.2,0.15,0.24,,0.23,0.23,0.27,0.24,0.28,0.25
e_1,0.07,0.01,0.05,0.09,0.09,0.14,0.26,0.29,0.18,0.23,0.26,0.24,0.27,0.31,0.37,
f_1,0.08,0.08,0.01,0.08,0.07,0.13,0.16,0.16,0.18,0.16,0.2,,0.17,0.22,0.32,0.4
c_1,0.06,0.05,0.05,0.01,0.09,0.09,0.15,0.18,,0.09,0.11,0.2,0.2,0.24,0.24,0.37
b_1,0.04,0.04,0.05,0.03,0.01,0.08,0.07,0.09,0.11,0.1,,0.14,0.11,0.16,,0.16
a_1,0.02,0.01,0.02,0.01,0.01,,0.03,0.02,0.04,0.03,0.05,0.04,0.04,0.04,,
h_1,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
