,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.41,4.2,2.71,3.25,3.29,3.46,1.72,1.83,1.58,2.78,1.62,1.43,1.14,1.58,,1.87
d_1,4.73,0.41,3.61,4.42,3.01,4.12,2.23,,1.78,1.29,1.64,1.29,1.75,0.72,1.88,1.35
f_1,4.0,3.52,0.4,3.97,3.12,3.29,1.84,1.38,1.39,1.78,1.72,,0.96,2.17,2.01,1.69
c_1,3.67,3.21,3.36,0.4,4.89,3.52,2.0,0.92,,1.83,1.75,2.05,1.48,1.28,1.87,1.52
b_1,3.38,4.46,4.37,2.18,0.37,,1.78,1.66,1.67,1.83,,1.3,1.64,1.11,1.34,1.85
a_1,4.94,4.39,3.17,3.89,,0.31,2.14,1.51,1.52,,2.03,1.78,1.32,1.15,,
h_1,1.92,1.77,1.95,1.4,2.06,1.43,0.26,1.07,1.2,1.21,0.62,0.72,,0.64,0.79,0.75
d_0,1.1,,1.9,1.86,1.72,1.45,0.69,0.29,0.74,0.84,0.96,0.56,0.58,0.57,0.67,0.73
c_0,1.82,0.99,1.69,,1.62,1.46,0.72,0.79,0.3,0.75,0.84,0.71,0.55,0.86,0.63,0.62
g_1,1.48,2.11,2.09,2.18,1.57,,0.65,0.95,1.07,0.23,0.97,1.2,0.46,,0.72,
b_0,2.27,1.51,1.56,1.9,,1.65,0.87,0.63,0.4,0.8,0.27,0.8,0.69,0.85,0.76,0.86
f_0,1.66,1.72,,1.36,1.81,1.49,0.97,0.93,0.63,0.48,0.66,0.27,0.58,0.44,0.95,0.7
h_0,1.21,1.04,1.34,1.43,1.11,1.47,,0.58,0.6,0.9,0.64,0.6,,0.61,0.45,0.37
g_0,0.99,1.77,1.16,1.48,1.73,1.57,0.62,0.63,0.5,,0.51,0.66,0.38,,0.5,0.61
e_0,,1.39,1.44,1.2,2.12,,0.88,1.1,0.72,0.88,0.62,0.46,0.74,0.59,0.21,
a_0,1.87,1.62,1.28,1.7,1.7,,0.89,0.58,0.89,,0.42,0.82,0.75,0.66,,0.22
