,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.42,0.62,0.86,0.84,1.07,1.0,0.48,0.54,0.52,0.41,0.4,0.38,0.4,0.37,0.9,0.38
f_1,0.95,0.41,0.93,0.85,0.89,0.74,0.35,0.52,0.36,0.35,0.6,0.39,0.37,0.24,0.32,0.32
c_1,0.81,0.84,0.39,1.03,0.95,0.78,0.48,0.45,0.24,0.47,0.4,0.36,0.43,0.38,0.39,0.3
d_1,0.97,0.89,0.93,0.38,0.81,0.88,0.5,0.32,0.65,0.43,0.42,0.38,0.42,0.3,0.34,0.24
b_1,0.77,0.94,0.6,0.99,0.38,1.0,0.54,0.53,0.44,0.47,0.4,0.88,0.39,0.38,0.38,0.46
a_1,0.87,1.05,0.97,0.85,0.55,0.3,0.53,0.49,0.43,0.45,0.37,0.52,0.56,0.41,0.44,0.34
h_1,0.78,0.87,0.73,0.82,0.79,0.67,0.25,0.47,0.35,0.32,0.31,0.35,0.33,0.42,0.32,0.31
g_1,0.78,0.82,0.85,0.81,0.83,0.82,0.33,0.23,0.38,0.32,0.39,0.3,0.31,0.28,0.35,0.41
d_0,0.47,0.87,0.98,1.22,0.72,0.73,0.44,0.53,0.27,0.33,0.36,0.42,0.39,0.28,0.37,0.41
c_0,0.92,0.97,1.05,0.48,0.77,0.69,0.49,0.41,0.45,0.24,0.34,0.39,0.33,0.3,0.31,0.36
f_0,0.68,1.16,0.88,0.75,0.73,0.73,0.47,0.3,0.36,0.31,0.23,0.38,0.31,0.33,0.44,0.21
b_0,0.84,0.79,0.89,0.7,0.85,0.71,0.4,0.43,0.38,0.2,0.32,0.22,0.41,0.3,0.33,0.3
a_0,0.85,0.77,0.84,0.63,0.95,1.2,0.45,0.46,0.39,0.31,0.31,0.22,0.21,0.25,0.4,0.27
h_0,0.72,0.84,0.73,0.7,0.79,0.74,0.51,0.45,0.4,0.35,0.32,0.35,0.35,0.39,0.34,0.32
e_0,0.9,1.18,0.71,0.76,0.72,0.69,0.42,0.38,0.41,0.35,0.2,0.37,0.31,0.36,0.2,0.25
g_0,0.73,0.8,0.83,0.8,0.61,0.8,0.34,0.6,0.33,0.33,0.41,0.37,0.36,0.24,0.39,0.36
