,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.14,11.18,5.5,13.21,12.77,11.92,3.76,3.69,1.93,1.85,2.54,2.91,2.46,10.41,2.63,2.24
d_1,12.78,1.14,11.79,11.4,11.58,11.58,3.34,1.85,7.59,1.98,1.86,2.13,1.6,2.5,2.08,0.96
f_1,13.58,10.68,1.14,12.03,11.2,9.69,2.06,4.39,2.88,2.35,10.2,1.94,1.0,2.36,2.01,1.95
c_1,10.59,16.88,13.39,1.14,15.37,10.61,4.72,3.64,1.34,10.4,2.63,2.56,2.15,2.53,2.79,1.66
b_1,15.7,14.29,18.91,7.37,1.14,17.22,4.07,4.39,3.25,4.3,2.72,20.78,2.17,3.21,3.01,3.17
a_1,21.93,20.73,25.5,20.66,10.75,1.15,6.65,5.33,3.86,4.67,5.19,4.64,2.55,3.81,27.08,3.08
h_1,27.05,25.69,28.45,33.11,26.42,27.99,1.91,8.73,6.04,5.81,5.5,5.34,17.46,7.13,7.49,4.38
g_1,27.66,25.69,36.62,29.32,28.34,31.0,6.33,1.94,8.04,6.45,7.68,6.93,3.33,4.28,6.52,10.0
d_0,18.08,118.17,33.75,30.19,28.95,53.03,10.5,11.46,2.67,8.96,6.38,6.45,4.99,5.5,6.07,4.78
c_0,37.06,17.9,36.62,171.06,36.28,31.98,9.5,11.46,10.19,2.54,8.77,7.29,4.36,6.42,6.18,6.27
f_0,30.88,38.53,202.47,41.61,35.8,41.12,10.93,6.51,8.65,7.41,2.57,7.68,6.07,7.55,5.77,3.68
b_0,42.6,28.82,35.85,48.11,113.38,34.74,11.91,12.0,12.65,4.85,8.37,2.56,4.51,6.21,6.4,5.33
h_0,49.41,46.04,71.71,54.98,47.74,47.98,33.25,18.29,11.2,9.08,8.5,10.2,20.95,8.95,9.03,5.61
e_0,132.36,50.64,86.05,71.6,57.89,41.12,13.3,12.8,10.51,11.73,5.34,11.0,7.62,2.67,12.14,5.33
a_0,50.77,49.93,66.19,71.6,118.3,,18.14,21.33,16.26,12.4,13.05,5.05,10.47,9.87,2.82,8.89
g_0,66.18,77.07,70.24,90.56,71.61,69.48,12.28,42.67,12.89,16.12,10.39,13.68,8.38,12.83,14.67,29.09
