,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.76,0.68,0.79,1.0,0.83,0.7,0.92,0.97,1.6,0.89,0.88,1.14,1.02,0.88,1.03,1.03
d_1,0.79,1.87,0.86,0.62,0.74,0.77,1.0,1.04,0.66,1.57,1.25,1.03,1.02,1.02,1.16,0.99
f_1,1.3,0.78,1.86,0.84,0.67,0.61,0.95,0.81,0.95,0.88,0.98,0.61,0.78,0.66,0.96,0.93
c_1,0.76,0.79,0.76,1.99,1.38,0.84,0.86,0.95,0.89,0.62,0.69,0.95,1.02,0.93,0.77,0.8
b_1,0.68,0.86,0.86,0.79,2.16,1.53,1.0,0.92,0.86,0.96,0.77,0.93,0.99,1.03,0.72,1.0
a_1,0.78,0.89,0.97,0.85,0.7,2.76,1.04,0.95,0.91,0.99,1.08,0.89,1.09,1.01,0.77,0.99
h_1,0.88,0.98,1.08,0.88,0.81,0.76,1.84,1.2,0.9,0.92,0.96,1.05,0.88,1.13,1.06,1.44
g_1,0.79,1.29,0.76,0.82,0.79,0.79,1.05,1.8,0.84,1.05,1.04,1.54,1.05,1.25,0.96,0.9
d_0,0.84,0.72,0.79,1.49,0.97,0.86,1.01,0.94,1.41,0.69,0.77,1.06,1.02,1.09,0.87,1.09
c_0,0.94,0.96,0.97,0.77,0.64,0.74,1.08,1.09,0.93,1.55,1.87,1.13,1.21,1.12,1.54,1.05
b_0,0.81,0.97,0.99,0.9,0.65,0.59,1.05,1.01,1.05,1.13,1.73,1.11,1.18,1.06,2.06,1.13
f_0,0.71,1.04,0.76,0.96,0.82,0.88,1.04,1.21,1.12,0.94,1.08,1.71,1.16,2.03,1.07,1.25
h_0,0.8,0.96,1.11,0.9,0.8,0.85,0.8,1.27,0.97,0.95,1.15,1.02,0.75,1.18,1.05,1.27
e_0,0.62,1.04,0.92,0.94,0.88,0.93,1.03,1.16,0.98,0.99,1.13,1.03,1.24,1.95,1.11,1.17
a_0,0.81,1.01,0.88,0.98,0.95,0.52,1.08,1.04,0.97,0.95,1.22,1.14,1.17,1.16,2.12,1.24
g_0,0.77,1.27,0.82,0.91,0.79,0.75,1.07,0.93,0.86,0.96,0.96,1.46,1.22,1.37,0.98,0.85
