,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.5,0.2,0.18,0.15,0.12,0.13,0.23,,0.29,0.12,0.24,0.22,0.2,0.16,0.18,0.16
f_1,0.15,1.5,0.24,0.18,0.17,0.14,0.22,0.21,0.22,0.15,0.17,,0.24,0.11,0.11,0.2
e_1,0.16,0.18,1.52,0.15,0.16,0.11,0.19,0.32,0.18,0.19,0.17,0.16,0.24,0.15,,0.19
c_1,0.17,0.14,0.17,1.54,0.25,,0.21,0.2,,0.2,0.15,0.2,0.24,0.2,0.18,0.25
b_1,0.19,0.15,0.18,0.16,1.59,0.23,0.26,0.25,0.17,0.19,,0.21,0.22,0.15,0.17,0.14
a_1,0.2,0.24,0.18,,0.11,1.72,0.15,0.2,0.22,0.19,0.22,,0.22,,,0.2
h_1,0.4,0.52,0.35,0.41,0.34,0.43,1.64,0.54,0.46,0.47,0.36,0.38,,0.36,0.39,0.45
d_0,,0.43,0.4,0.66,0.4,0.52,0.48,1.41,0.52,0.41,0.67,0.49,0.63,0.48,0.36,0.58
c_0,0.42,0.41,0.54,,0.47,0.39,0.58,0.56,1.43,0.46,0.84,0.5,0.52,0.49,0.36,0.5
g_1,0.64,0.41,0.28,0.39,0.38,0.34,0.42,0.48,0.48,1.73,0.45,0.59,0.52,,0.37,
b_0,0.41,0.43,0.38,0.57,,0.33,0.62,0.49,0.55,0.52,1.47,0.57,0.69,0.59,,0.57
f_0,0.49,,0.47,0.5,0.46,,0.5,0.6,0.64,0.44,0.55,1.48,0.73,0.59,0.77,0.46
h_0,0.57,0.64,0.58,0.51,0.5,0.5,,0.73,0.74,0.96,0.66,0.55,,0.63,0.53,0.96
a_0,0.54,0.54,0.5,0.41,0.42,,0.67,0.51,0.67,,0.58,0.41,0.64,1.64,,0.66
e_0,0.47,0.61,,0.44,0.5,,0.45,0.74,0.86,0.54,,0.57,0.71,,1.62,0.51
g_0,1.01,0.59,0.53,0.48,0.64,0.56,0.59,0.64,0.62,,0.66,1.01,0.63,0.6,0.77,
