,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.14,12.63,13.84,10.88,13.0,11.45,2.74,1.9,2.5,2.09,9.62,2.25,1.28,2.21,2.16,1.03
f_1,10.88,1.14,11.44,13.91,9.45,10.49,2.46,4.27,2.5,2.21,2.54,5.65,1.55,2.23,2.35,1.98
e_1,14.33,6.24,1.14,10.88,12.59,10.24,4.4,4.22,2.74,2.58,2.13,2.81,1.92,3.28,21.16,2.42
c_1,16.59,15.26,10.34,1.14,15.83,13.82,3.29,3.45,11.16,2.51,1.17,2.38,1.85,2.82,2.14,2.21
b_1,13.55,15.4,13.0,8.76,1.15,25.05,4.29,4.1,3.59,11.42,3.54,2.24,2.29,3.38,3.0,1.84
a_1,19.68,16.12,19.62,27.44,8.99,1.15,6.97,6.33,3.82,5.71,5.32,4.61,3.51,19.36,3.98,2.94
h_1,29.02,26.95,26.61,28.98,27.7,24.19,1.89,8.4,5.67,5.28,6.38,5.97,8.58,4.9,5.36,3.67
g_1,28.55,41.55,33.01,28.45,35.06,32.26,6.8,1.9,5.76,6.41,6.0,6.03,3.69,6.45,5.09,10.33
c_0,14.22,38.75,39.46,110.75,32.21,32.26,9.84,10.62,2.48,6.28,7.48,8.33,4.69,6.76,7.58,5.09
b_0,28.09,35.56,39.46,43.07,153.89,26.61,9.39,10.17,3.57,2.68,7.77,6.56,4.29,6.36,6.48,4.67
d_0,105.55,43.66,17.34,31.32,52.26,34.34,17.42,16.04,9.13,7.48,2.94,8.33,5.44,6.98,10.31,5.33
f_0,38.7,149.96,41.36,32.99,44.68,53.22,12.29,7.76,6.45,7.3,8.66,2.78,5.51,6.76,8.74,3.34
h_0,45.23,62.71,51.24,55.37,56.53,34.34,39.81,12.45,8.57,9.81,8.91,9.05,15.93,8.52,8.74,7.75
a_0,62.2,49.99,53.64,47.71,49.46,125.24,15.2,14.73,9.25,5.28,9.62,11.93,8.58,2.7,7.88,8.32
e_0,42.48,63.87,190.72,57.43,60.22,40.17,13.48,16.79,9.13,9.66,10.27,4.17,6.19,11.21,2.72,7.26
g_0,48.38,76.64,95.36,64.6,60.22,60.83,13.06,40.11,12.33,14.27,18.36,11.17,8.11,8.35,12.56,17.95
