,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,5.69,1.36,1.48,1.12,1.43,1.23,4.94,4.87,12.07,5.39,7.19,5.23,5.8,10.56,3.58,9.73
f_1,2.11,5.93,1.36,1.3,1.17,1.08,4.23,4.07,5.24,5.14,2.62,6.18,5.97,9.08,4.44,8.68
c_1,1.4,1.21,6.43,1.1,2.18,1.17,4.87,4.24,5.04,2.74,6.34,5.08,6.26,9.61,6.24,8.59
d_1,1.31,1.34,0.98,6.77,1.13,1.35,4.59,5.54,2.24,11.93,6.84,8.28,8.35,9.39,6.84,9.52
b_1,1.04,1.25,1.38,1.41,6.97,2.46,4.51,3.99,6.52,6.28,6.33,3.21,4.58,8.6,6.7,10.99
a_1,1.06,1.56,1.45,1.33,1.34,11.47,5.31,4.23,5.95,6.89,5.9,5.51,2.07,8.89,8.68,6.93
h_1,1.63,2.2,1.49,1.5,1.35,1.48,15.36,7.7,7.06,6.25,6.43,7.35,6.88,6.01,7.75,13.64
g_1,1.43,1.29,1.61,2.72,1.36,1.5,5.38,18.47,5.07,8.33,11.16,8.19,7.09,10.92,8.28,5.99
d_0,1.43,1.83,3.23,0.75,1.43,1.39,5.81,5.07,14.2,5.27,7.04,6.36,6.94,10.64,5.76,11.93
c_0,1.65,1.92,1.01,1.7,1.32,1.44,6.31,6.7,6.79,18.11,8.36,17.36,9.0,11.65,8.36,11.81
f_0,1.64,1.07,1.82,1.55,1.53,1.62,6.48,6.1,8.23,7.68,19.1,9.63,10.77,12.66,17.98,11.08
b_0,1.68,1.68,1.73,1.94,0.55,0.95,6.11,8.32,6.09,9.2,7.47,20.6,15.36,11.21,8.55,10.98
a_0,1.67,1.8,1.63,1.61,1.52,0.92,6.29,7.09,6.2,7.82,10.55,7.57,23.27,12.36,9.23,10.61
h_0,1.45,2.56,1.57,1.82,1.37,1.28,3.28,7.05,7.76,8.26,6.1,6.68,9.86,6.53,7.31,14.49
e_0,0.69,1.97,1.58,2.06,1.73,1.77,6.65,5.68,6.35,9.24,7.35,7.35,5.93,12.53,25.91,11.68
g_0,1.36,1.62,1.84,2.64,1.3,1.42,6.08,3.21,5.86,6.61,11.81,7.86,8.05,10.44,9.52,7.93
