,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.83,0.89,1.02,0.8,0.73,0.49,0.49,0.62,0.45,0.46,0.46,0.36,0.4,0.32,0.46
f_1,1.21,1.0,0.95,0.92,0.75,0.75,0.46,0.55,0.43,0.36,0.4,0.36,0.35,0.26,0.36,0.22
d_1,1.12,1.05,1.0,0.92,0.89,0.72,0.55,0.39,0.39,0.56,0.48,0.37,0.34,0.36,0.26,0.28
c_1,0.99,1.08,1.09,1.0,1.28,0.55,0.5,0.42,0.32,0.37,0.35,0.37,0.35,0.39,0.35,0.32
b_1,1.25,1.33,1.13,0.78,1.0,1.14,0.53,0.5,0.46,0.48,0.45,0.53,0.39,0.4,0.31,0.3
a_1,1.39,1.34,1.4,1.83,0.86,1.0,0.94,0.64,0.64,0.59,0.56,0.53,0.5,0.54,0.44,0.52
h_1,2.1,2.14,1.82,1.92,1.84,1.04,1.0,1.07,0.91,0.9,0.85,0.72,0.69,0.84,0.77,0.64
g_1,1.97,1.9,2.45,2.41,1.98,1.62,0.93,1.0,0.86,0.94,0.77,0.99,0.7,0.64,0.6,0.69
d_0,1.68,2.36,2.58,3.0,2.1,1.55,1.12,1.19,1.0,0.83,0.93,0.94,0.73,0.87,0.68,0.71
c_0,2.14,2.84,1.77,2.73,1.95,1.72,1.08,1.11,1.17,1.0,1.31,1.0,0.92,0.88,0.71,0.75
b_0,2.22,2.54,2.07,2.86,2.06,1.76,1.18,1.29,1.07,0.74,1.0,1.0,1.18,1.02,0.92,0.76
f_0,2.06,2.89,2.75,2.61,2.14,1.75,1.41,1.02,1.1,1.02,1.0,1.0,0.96,1.05,0.6,1.1
a_0,2.75,2.84,3.05,2.74,2.45,1.99,1.43,1.49,1.33,1.04,0.93,1.13,1.0,0.83,0.91,1.1
h_0,2.36,3.75,2.83,2.64,2.42,1.8,1.2,1.56,1.16,1.16,1.02,0.96,1.12,1.01,1.01,0.81
g_0,2.97,2.82,3.94,2.79,3.19,2.13,1.33,1.65,1.49,1.45,1.15,1.64,1.07,1.01,1.0,0.98
e_0,2.39,4.69,3.51,3.46,3.01,2.01,1.61,1.47,1.37,1.35,1.28,0.92,0.92,1.12,0.94,1.0
