,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,34.77,0.07,0.05,0.06,0.08,0.07,0.28,0.29,0.84,0.29,0.38,0.32,0.55,0.4,,0.29
f_1,0.11,35.36,0.07,0.07,0.07,0.06,0.3,0.3,0.31,0.33,,0.38,0.63,0.31,0.37,0.68
d_1,0.06,0.06,40.56,0.06,0.07,0.07,0.3,0.32,,0.77,0.31,0.34,0.67,0.31,0.3,0.53
c_1,0.05,0.07,0.07,45.5,0.12,0.07,0.22,0.22,0.33,,0.43,0.31,0.65,0.5,0.42,0.68
b_1,0.07,0.06,0.04,0.06,49.72,0.12,0.34,0.29,0.4,0.49,0.37,,0.62,0.29,0.34,0.51
a_1,0.06,0.09,0.07,0.09,0.07,79.83,0.26,,0.37,0.47,0.27,0.36,,,,0.71
h_1,0.23,0.31,0.28,0.33,0.26,0.28,25.97,1.69,1.52,1.58,1.14,0.9,,0.85,1.65,3.01
g_1,0.26,0.24,0.41,0.15,0.19,0.26,0.9,32.43,1.11,1.1,3.07,1.76,2.07,1.14,1.79,
d_0,0.35,0.34,,0.69,0.45,0.36,1.62,1.21,16.59,2.08,2.21,1.69,3.43,1.68,1.63,2.41
c_0,0.35,0.3,0.35,,0.36,0.39,1.32,1.7,1.36,19.04,2.16,3.83,3.09,1.74,1.29,3.19
f_0,0.23,,0.3,0.43,0.19,,1.85,1.0,2.29,1.81,21.45,2.83,2.95,2.29,4.57,3.74
b_0,0.37,0.31,0.34,0.34,,0.4,1.26,1.37,2.35,1.77,1.82,21.98,3.13,3.35,2.15,2.45
h_0,0.69,0.78,0.47,0.65,0.46,0.54,,2.54,3.52,2.56,3.21,3.04,,2.37,1.8,5.27
a_0,0.33,0.31,0.49,0.28,0.29,,1.46,1.56,1.69,1.09,1.98,1.98,4.01,28.04,2.84,2.36
e_0,,0.45,0.26,0.21,0.38,0.47,2.23,1.43,1.85,2.14,1.46,1.79,3.08,2.68,29.94,3.36
g_0,0.52,0.47,1.08,0.56,0.44,0.43,2.96,,2.45,2.43,2.6,2.34,4.59,3.81,2.77,
