,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.89,0.19,0.19,0.2,0.13,0.11,0.15,0.3,0.1,0.15,0.16,0.16,0.18,0.08,0.15,0.04
f_1,0.35,0.89,0.19,0.15,0.12,0.08,0.14,0.17,0.12,0.16,0.16,0.06,0.18,0.09,0.13,0.06
d_1,0.21,0.22,0.9,0.13,0.13,0.09,0.16,0.06,0.17,0.31,0.15,0.16,0.16,0.12,0.13,0.09
c_1,0.15,0.2,0.15,0.89,0.3,0.09,0.16,0.19,0.11,0.07,0.13,0.13,0.16,0.1,0.12,0.1
b_1,0.16,0.17,0.18,0.18,0.88,0.24,0.15,0.18,0.11,0.14,0.06,0.16,0.12,0.08,0.1,0.13
a_1,0.2,0.24,0.15,0.2,0.15,0.88,0.15,0.17,0.11,0.14,0.12,0.14,0.15,0.03,0.15,0.1
h_1,0.23,0.3,0.24,0.18,0.14,0.15,0.57,0.2,0.21,0.2,0.19,0.18,0.12,0.1,0.25,0.13
d_0,0.24,0.24,0.1,0.44,0.2,0.11,0.19,0.42,0.14,0.12,0.17,0.18,0.22,0.13,0.17,0.13
g_1,0.21,0.2,0.37,0.19,0.17,0.08,0.18,0.18,0.57,0.19,0.19,0.26,0.21,0.13,0.08,0.13
c_0,0.23,0.26,0.25,0.12,0.13,0.14,0.24,0.16,0.17,0.45,0.36,0.22,0.24,0.15,0.19,0.15
b_0,0.24,0.23,0.26,0.21,0.08,0.11,0.21,0.23,0.14,0.19,0.44,0.21,0.24,0.28,0.21,0.14
f_0,0.19,0.15,0.24,0.25,0.2,0.15,0.2,0.22,0.17,0.17,0.2,0.44,0.21,0.14,0.21,0.26
h_0,0.23,0.31,0.25,0.23,0.18,0.09,0.1,0.2,0.23,0.18,0.21,0.18,0.11,0.12,0.2,0.12
a_0,0.24,0.29,0.24,0.24,0.18,0.03,0.21,0.2,0.18,0.18,0.22,0.22,0.26,0.37,0.15,0.12
g_0,0.23,0.18,0.39,0.22,0.17,0.13,0.16,0.18,0.1,0.15,0.17,0.3,0.18,0.12,0.12,0.16
e_0,0.11,0.23,0.26,0.32,0.2,0.16,0.18,0.18,0.16,0.18,0.2,0.22,0.21,0.12,0.16,0.38
