,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.13,1.19,1.32,1.77,3.13,18.55,21.73,34.94,36.23,40.67,40.14,67.49,81.61,81.72,77.65
e_1,0.89,1.0,0.8,1.65,2.01,3.43,18.42,27.99,24.94,43.83,34.76,48.88,77.36,82.57,77.82,100.81
f_1,0.84,1.26,1.0,1.43,1.72,2.77,12.4,31.0,23.91,29.08,33.07,37.95,57.4,63.51,61.07,75.17
c_1,0.75,0.61,0.69,1.0,1.76,2.44,11.95,15.76,14.65,15.95,21.04,28.57,45.69,44.13,43.46,66.27
b_1,0.57,0.49,0.6,0.57,1.0,3.08,9.87,14.55,14.38,16.48,21.27,21.08,33.66,34.96,52.55,56.32
a_1,0.32,0.29,0.36,0.41,0.32,1.0,4.98,8.33,7.41,10.71,11.64,11.17,29.6,24.82,24.71,28.88
h_1,0.05,0.06,0.08,0.09,0.1,0.19,1.0,1.92,1.57,1.89,2.04,2.08,4.35,3.55,4.33,6.48
g_1,0.04,0.04,0.03,0.06,0.07,0.12,0.51,1.0,1.01,1.04,1.34,1.73,2.35,3.04,3.51,3.35
c_0,0.03,0.04,0.04,0.06,0.07,0.14,0.64,1.01,1.0,1.49,1.79,1.49,2.8,2.85,3.12,3.37
d_0,0.03,0.02,0.03,0.07,0.06,0.1,0.54,0.95,0.68,1.0,1.0,1.25,2.3,2.19,2.69,3.15
b_0,0.03,0.03,0.03,0.05,0.05,0.08,0.49,0.76,0.55,1.0,1.0,1.08,2.72,3.16,2.15,2.76
f_0,0.02,0.02,0.03,0.03,0.05,0.1,0.46,0.58,0.67,0.82,0.93,1.0,2.15,1.83,2.95,1.87
h_0,0.01,0.01,0.02,0.02,0.03,0.03,0.24,0.42,0.36,0.43,0.38,0.46,1.0,1.01,0.87,1.47
a_0,0.01,0.01,0.02,0.02,0.03,0.04,0.28,0.34,0.34,0.45,0.34,0.53,0.98,1.0,1.0,1.06
e_0,0.01,0.01,0.02,0.02,0.02,0.04,0.23,0.3,0.32,0.36,0.48,0.34,1.15,0.99,1.0,1.19
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.16,0.3,0.3,0.32,0.35,0.57,0.68,0.95,0.83,1.0
