,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.22,0.86,0.93,0.8,0.6,0.39,0.43,0.36,0.38,0.34,0.32,0.27,0.26,0.21,0.31
e_1,0.83,1.0,0.86,1.1,0.94,0.71,0.48,0.4,0.37,0.57,0.39,0.39,0.34,0.35,0.34,0.33
d_1,1.17,1.15,1.0,0.84,0.91,0.71,0.54,0.38,0.55,0.45,0.42,0.38,0.36,0.35,0.29,0.26
c_1,1.09,0.9,1.18,1.0,1.2,0.84,0.47,0.51,0.42,0.31,0.37,0.41,0.39,0.34,0.34,0.3
b_1,1.25,1.04,1.1,0.85,1.0,1.16,0.61,0.5,0.54,0.46,0.54,0.43,0.4,0.32,0.39,0.34
a_1,1.66,1.43,1.4,1.19,0.88,1.0,0.76,0.66,0.62,0.65,0.61,0.49,0.49,0.54,0.52,0.48
h_1,2.59,2.13,1.92,2.03,1.61,1.24,1.0,1.19,0.87,0.83,0.84,0.7,0.87,0.68,0.66,0.75
g_1,2.35,2.43,2.63,1.97,1.93,1.5,0.85,1.0,1.09,0.84,0.98,1.06,0.73,0.84,0.71,0.77
c_0,2.93,2.68,1.82,2.3,1.81,1.5,1.15,0.91,1.0,1.17,1.31,0.98,0.94,0.85,0.88,0.75
d_0,2.51,1.82,2.18,3.25,2.17,1.53,1.22,1.3,0.86,1.0,1.04,0.77,0.98,0.76,0.69,0.72
b_0,2.98,2.6,2.34,2.72,1.85,1.57,1.21,1.0,0.76,0.98,1.0,0.84,0.9,1.08,0.78,0.74
f_0,2.9,2.55,2.52,2.55,2.41,1.97,1.33,0.94,1.05,1.35,1.2,1.0,1.07,1.03,1.27,0.74
h_0,3.68,2.99,2.78,2.59,2.49,1.96,1.15,1.38,1.08,1.04,1.14,0.93,1.0,0.87,0.91,0.94
a_0,3.6,2.83,2.8,3.17,3.27,1.96,1.47,1.19,1.15,1.26,0.94,1.08,1.16,1.0,0.77,0.89
e_0,4.41,2.98,3.43,2.86,2.76,1.85,1.44,1.44,1.27,1.41,1.29,0.81,1.16,1.56,1.0,0.85
g_0,3.22,3.07,3.89,3.25,3.0,2.16,1.33,1.32,1.36,1.33,1.31,1.42,1.05,1.09,1.18,1.0
