,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.12,4.13,4.89,5.22,5.26,5.77,1.07,0.87,1.45,0.95,0.84,1.97,0.47,0.96,0.87,0.9
e_1,2.77,1.13,5.97,6.63,6.04,5.12,1.69,1.15,1.7,1.25,1.13,1.59,0.85,1.23,0.84,2.66
d_1,6.7,6.86,1.12,5.07,4.69,4.9,1.29,1.13,1.04,2.85,1.27,1.03,0.79,0.83,0.5,0.98
c_1,6.49,4.69,6.17,1.13,4.85,5.09,1.89,2.29,1.6,0.65,1.11,0.99,0.79,1.16,0.84,0.96
b_1,8.72,7.8,6.23,3.45,1.14,7.37,2.18,1.93,2.08,1.63,4.87,1.4,1.38,1.46,1.02,1.25
a_1,9.28,13.99,13.24,9.98,5.18,1.15,2.68,2.47,3.46,2.74,2.52,2.09,1.61,4.96,1.94,2.19
h_1,20.2,15.52,15.41,16.85,16.41,16.32,1.75,3.4,4.89,3.7,4.2,3.21,4.86,3.42,2.59,3.72
c_0,24.72,23.28,10.91,50.03,25.79,20.83,7.12,2.33,6.13,7.4,4.75,4.23,3.29,4.9,3.05,3.56
g_1,24.89,23.28,23.92,26.0,28.51,18.3,4.84,3.43,1.84,4.45,4.75,3.98,2.21,5.23,4.43,5.49
d_0,25.56,11.76,55.94,25.02,25.31,24.82,6.54,4.52,7.74,2.4,4.67,4.81,3.77,4.25,3.49,4.47
b_0,26.28,25.1,24.08,40.27,62.98,21.57,7.24,2.69,8.02,5.13,2.27,4.99,3.77,6.14,4.03,5.78
f_0,59.65,26.02,25.31,30.29,25.31,23.84,8.59,4.95,5.2,5.63,4.96,2.35,4.06,6.24,2.3,4.79
h_0,33.26,32.47,33.67,31.75,35.17,28.31,19.04,6.8,11.61,7.23,6.35,7.05,7.33,6.24,4.97,5.98
a_0,44.21,30.25,37.7,45.23,41.03,67.11,14.13,6.8,10.48,6.77,3.71,6.61,6.33,2.67,6.98,8.59
g_0,39.98,38.89,40.8,37.52,46.69,37.75,7.36,9.48,22.41,6.91,7.58,10.8,4.98,7.44,9.81,6.98
e_0,68.33,73.73,33.03,45.23,43.68,43.14,13.9,7.92,11.4,7.4,10.5,3.75,8.71,8.6,4.65,2.72
