,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.15,92.5,84.45,69.3,71.37,77.48,14.03,11.57,26.88,15.76,27.0,,8.21,15.12,16.5,13.35
e_1,49.66,1.15,80.43,88.56,54.24,96.85,28.06,13.61,29.22,20.84,14.25,17.88,11.03,24.2,,14.62
d_1,109.26,78.72,1.15,91.09,93.52,71.74,20.23,,17.68,22.28,16.55,14.9,16.08,18.15,19.11,6.98
c_1,78.04,97.37,120.64,1.15,87.48,121.06,33.46,8.36,22.4,,24.43,21.29,17.55,18.15,25.93,12.28
b_1,123.35,112.12,129.92,75.9,1.15,,37.83,30.17,25.85,23.07,,13.55,13.79,,,9.3
a_1,318.67,137.04,120.64,138.61,,1.15,39.55,46.27,,49.69,42.75,37.25,15.44,,,23.62
h_1,74.98,90.24,93.83,88.56,90.4,138.36,2.0,21.03,42.0,14.04,15.55,20.32,,12.1,13.44,15.35
d_0,76.48,56.06,,70.84,90.4,74.5,25.59,3.02,25.85,24.85,20.52,15.41,10.16,19.11,12.1,15.35
g_1,98.05,119.35,135.12,199.25,108.48,,20.71,38.56,2.0,24.85,18.32,24.83,17.55,20.17,19.11,
c_0,106.22,82.22,49.68,,135.6,80.71,23.51,25.7,26.88,2.9,18.32,18.62,11.7,18.15,17.29,20.47
b_0,106.22,176.19,108.97,132.83,,129.13,39.55,27.76,23.17,13.46,3.17,22.35,13.31,25.93,25.93,13.35
f_0,,142.31,129.92,113.86,169.5,101.95,51.18,30.17,22.4,29.36,19.73,3.31,21.44,22.69,21.35,10.96
h_0,88.93,123.33,108.97,74.14,129.14,84.22,,20.41,32.0,15.76,17.1,22.35,,25.93,19.11,19.19
a_0,254.93,185.0,120.64,187.53,,,48.33,36.53,48.0,32.3,17.69,37.25,18.38,3.05,,18.06
e_0,224.94,,160.86,212.53,,,37.83,33.05,37.33,30.76,27.0,14.42,17.55,,3.05,
g_0,182.1,132.14,160.86,177.11,142.74,92.24,24.86,21.69,,20.84,36.64,29.8,18.38,24.2,,
