,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.07,2.08,3.02,3.39,3.33,2.79,1.18,1.51,1.32,0.99,1.05,0.98,0.79,0.95,1.69,0.7
f_1,3.72,1.07,2.47,3.23,3.87,3.0,0.88,1.11,1.34,0.95,0.9,1.87,0.53,0.78,0.76,0.86
d_1,4.36,3.96,1.06,4.16,2.87,2.7,1.5,1.9,0.85,1.09,0.92,1.16,0.77,0.77,0.9,0.52
c_1,3.27,4.17,4.71,1.07,3.73,2.76,1.41,0.67,1.76,1.77,1.17,1.06,0.77,1.07,0.91,0.77
b_1,4.23,3.95,5.45,2.2,1.07,5.51,1.42,1.05,1.34,1.79,3.02,0.97,0.79,1.21,0.89,0.77
a_1,5.69,5.17,5.35,5.93,2.63,1.07,2.27,1.53,1.81,1.41,1.7,1.31,1.44,2.12,1.63,1.31
h_1,7.73,8.99,6.73,7.54,7.54,6.01,1.38,2.75,2.32,1.98,2.26,2.0,3.49,1.73,1.87,2.07
d_0,4.46,9.13,13.74,9.6,10.17,8.66,3.01,1.6,3.26,1.95,2.07,2.12,2.12,1.9,1.92,2.09
g_1,8.97,9.69,10.29,8.98,7.65,6.39,3.1,3.1,1.38,2.74,2.23,2.64,1.69,3.0,2.2,2.29
c_0,9.46,8.58,5.9,18.51,8.92,8.8,4.37,3.74,3.31,1.6,2.84,2.61,2.22,2.72,1.83,2.05
b_0,9.03,10.0,8.45,10.76,16.23,7.45,3.67,3.13,4.38,1.78,1.62,3.02,2.66,2.59,2.76,2.3
f_0,10.32,14.73,10.23,10.08,8.8,8.1,4.23,3.52,2.58,2.63,2.51,1.61,2.72,2.36,2.51,1.87
h_0,10.55,15.68,13.29,12.06,11.22,8.45,7.03,3.72,4.31,4.13,3.11,3.14,4.73,2.88,2.1,3.28
a_0,9.65,15.16,12.88,15.37,13.38,16.5,5.58,3.56,3.91,2.82,2.39,3.44,3.31,1.67,2.75,2.33
e_0,17.66,17.2,11.84,14.38,14.3,10.43,5.1,3.77,4.34,4.34,3.15,2.17,3.93,3.93,1.74,2.79
g_0,14.61,13.36,15.35,14.28,14.15,10.5,3.61,3.98,7.29,3.34,3.49,4.37,2.77,3.91,3.08,4.56
