,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.39,0.94,1.03,0.9,0.69,0.91,0.91,1.25,0.94,1.38,,0.96,0.79,0.88,0.96
e_1,0.72,1.0,1.06,1.03,0.81,1.16,1.15,1.14,1.16,1.2,0.76,1.02,0.93,1.15,,1.15
d_1,1.07,0.95,1.0,0.89,0.95,1.02,0.91,,0.81,1.53,1.0,0.93,1.14,1.18,1.05,0.69
c_1,0.97,0.97,1.12,1.0,1.16,1.2,1.18,0.74,0.73,,1.07,1.15,1.4,0.92,1.04,0.85
b_1,1.11,1.23,1.06,0.86,1.0,,1.14,1.14,0.98,0.85,,0.7,0.87,,,0.76
a_1,1.44,0.86,0.98,0.83,,1.0,0.8,1.32,,1.36,1.12,1.26,0.96,,,1.27
h_1,1.1,0.87,1.09,0.85,0.88,1.25,1.0,1.02,1.62,0.9,0.82,0.88,,0.77,0.92,1.32
d_0,1.1,0.88,,1.36,0.88,0.76,0.99,1.0,0.83,1.02,1.0,0.89,0.95,1.0,0.84,1.26
g_1,0.8,0.86,1.23,1.37,1.02,,0.62,1.2,1.0,0.98,1.02,1.29,0.98,0.88,0.97,
c_0,1.07,0.83,0.65,,1.18,0.74,1.12,0.98,1.02,1.0,1.31,0.96,1.11,1.0,1.0,1.44
b_0,0.73,1.31,1.0,0.94,,0.89,1.22,1.0,0.98,0.76,1.0,1.14,1.02,1.44,1.16,0.78
f_0,,0.98,1.07,0.87,1.44,0.79,1.14,1.12,0.77,1.04,0.88,1.0,1.05,0.87,1.35,0.73
h_0,1.05,1.08,0.88,0.72,1.15,1.04,,1.06,1.02,0.9,0.98,0.95,,1.22,1.08,1.15
a_0,1.26,0.87,0.85,1.08,,,1.29,1.0,1.13,1.0,0.69,1.15,0.82,1.0,,0.94
e_0,1.14,,0.95,0.97,,,1.08,1.2,1.03,1.0,0.86,0.74,0.93,,1.0,
g_0,1.05,0.87,1.45,1.18,1.32,0.79,0.76,0.79,,0.7,1.28,1.37,0.87,1.06,,
