,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,18.39,0.65,0.4,0.7,0.41,0.46,0.96,0.98,0.78,2.09,1.05,0.88,1.04,1.16,0.42,0.9
f_1,1.12,17.93,0.46,0.5,0.4,0.55,0.79,0.7,0.93,0.92,0.8,0.39,1.11,0.87,0.7,0.76
d_1,0.44,0.59,20.26,0.39,0.57,0.54,0.99,0.93,2.19,0.28,1.2,0.97,0.85,0.91,0.94,1.06
c_1,0.47,0.38,0.56,19.68,1.27,0.52,0.77,0.66,0.21,0.85,0.59,1.05,0.66,0.79,1.01,0.88
b_1,0.47,0.62,0.55,0.44,20.03,1.15,0.76,0.77,0.82,0.77,0.46,0.87,0.79,1.01,1.21,0.9
a_1,0.52,0.45,0.63,0.62,0.46,30.63,0.98,0.99,0.76,0.89,0.94,1.05,0.36,0.99,0.88,1.01
h_1,0.53,0.97,0.79,0.85,0.65,0.6,5.28,1.51,1.02,0.99,1.31,0.99,1.16,0.55,1.01,1.81
g_1,0.5,0.5,1.26,0.89,0.58,0.45,1.23,7.38,1.06,0.95,1.19,2.22,1.15,1.13,1.29,0.64
c_0,0.69,0.84,0.86,0.37,0.58,0.52,1.12,1.36,3.36,0.96,3.1,1.43,1.73,1.58,1.24,1.5
d_0,0.75,0.82,0.28,1.73,0.62,0.7,1.16,0.96,0.72,3.34,1.04,1.13,0.83,1.07,0.98,1.01
b_0,0.54,0.99,0.76,0.75,0.24,0.47,1.06,1.12,1.68,1.03,4.28,1.37,3.8,1.85,1.28,1.3
f_0,0.56,0.34,0.87,0.81,0.81,0.68,1.31,1.19,1.22,1.05,1.38,4.39,1.05,1.39,3.49,1.32
a_0,0.77,0.7,0.72,0.97,0.51,0.33,1.1,1.13,1.05,1.44,1.22,1.15,5.37,1.48,1.11,1.69
h_0,0.7,1.21,0.82,0.62,0.59,0.5,0.63,1.67,1.24,1.31,1.08,0.87,1.14,0.59,1.18,1.65
e_0,0.33,0.68,0.94,0.69,0.88,0.77,1.06,1.25,1.65,1.2,1.44,1.37,1.3,1.52,5.11,1.62
g_0,0.48,0.57,1.35,0.71,0.68,0.6,0.99,0.78,1.25,0.96,1.16,2.34,0.87,1.3,1.95,0.87
