,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.43,0.71,0.6,0.75,0.64,0.6,0.96,0.94,1.73,0.84,0.97,0.97,1.07,1.09,0.62,0.73
f_1,1.16,2.5,0.62,0.63,0.59,0.48,0.82,0.77,0.84,0.71,0.43,0.81,0.86,0.65,0.67,0.92
d_1,0.67,0.64,2.82,0.51,0.59,0.69,0.81,1.02,0.49,1.82,1.06,1.12,1.04,0.9,1.04,0.97
c_1,0.55,0.71,0.63,3.02,1.16,0.51,0.82,0.76,0.84,0.37,0.88,0.68,1.04,0.93,1.02,0.95
b_1,0.58,0.68,0.57,0.69,3.19,1.22,1.01,0.97,0.87,0.99,0.96,0.51,0.87,0.83,0.88,0.97
a_1,0.55,0.76,0.7,0.77,0.66,4.82,1.01,0.64,0.81,0.87,0.85,1.03,0.86,0.48,0.81,1.02
h_1,0.75,1.04,0.84,0.78,0.69,0.64,2.62,1.56,0.96,1.06,1.25,1.1,0.68,1.11,1.19,1.44
g_1,0.68,0.67,1.33,0.64,0.66,0.75,1.13,3.1,0.88,1.09,1.99,1.13,1.13,1.31,1.55,0.73
d_0,0.66,0.78,0.55,1.53,0.82,0.8,1.09,1.02,1.87,0.96,1.14,1.13,1.07,1.31,1.23,1.25
c_0,0.87,0.79,0.9,0.47,0.61,0.8,1.14,1.08,1.13,2.23,1.47,2.6,1.24,1.38,1.27,1.49
f_0,0.64,0.51,0.91,0.98,0.76,0.89,1.24,1.19,1.09,1.2,2.5,1.44,1.28,1.43,2.61,1.42
b_0,0.83,0.78,0.97,0.84,0.5,0.57,1.04,1.22,1.05,0.91,1.31,2.54,1.44,2.56,1.36,1.44
h_0,0.71,1.1,0.86,0.85,0.7,0.73,0.66,1.35,1.15,0.97,1.22,1.1,0.81,1.01,1.22,1.55
a_0,0.77,0.85,1.03,0.78,0.71,0.6,1.19,1.13,1.11,1.06,1.24,1.12,1.44,2.87,1.51,1.28
e_0,0.53,0.99,0.88,0.76,0.85,0.64,1.33,0.98,1.2,1.36,1.11,1.31,1.23,1.35,3.01,1.41
g_0,0.64,0.64,1.46,0.89,0.67,0.64,1.07,0.94,0.87,1.13,1.46,1.25,1.13,1.23,1.15,0.88
