,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,15.79,1.11,0.49,0.54,0.49,0.37,0.77,0.87,0.89,0.87,0.94,0.26,0.91,0.88,0.74,0.78
e_1,0.66,16.47,0.44,0.55,0.54,0.62,0.86,1.85,0.78,0.74,1.18,0.89,1.14,0.88,0.52,0.94
d_1,0.54,0.53,20.48,0.42,0.54,0.46,0.77,0.35,2.35,0.84,1.05,1.32,1.04,1.25,1.0,1.12
c_1,0.48,0.45,0.56,19.19,1.2,0.53,0.75,0.75,0.25,0.77,0.65,0.85,0.84,0.97,0.99,0.86
b_1,0.43,0.52,0.4,0.57,21.22,1.21,1.09,0.93,0.74,0.83,0.39,1.16,1.02,0.54,0.87,1.06
a_1,0.52,0.5,0.77,0.56,0.4,32.14,0.9,0.9,0.78,1.09,0.71,1.02,0.95,0.31,1.19,0.87
h_1,1.14,0.44,0.8,0.73,0.54,0.58,5.65,1.03,1.01,1.49,1.19,1.0,0.45,1.43,1.18,1.62
d_0,0.71,0.48,0.33,1.91,0.64,0.65,1.37,3.23,0.84,1.22,1.04,1.17,1.32,1.18,1.2,1.06
c_0,0.92,0.75,0.73,0.44,0.43,0.71,1.21,0.9,3.64,1.21,3.01,1.24,1.27,1.75,1.49,1.32
g_1,0.51,0.58,1.39,0.79,0.54,0.44,0.94,1.1,0.94,7.36,1.27,2.32,1.15,0.83,1.28,0.6
b_0,0.86,0.51,0.98,0.87,0.2,0.54,1.22,1.55,1.08,1.03,3.86,0.97,1.22,3.24,1.22,1.16
f_0,0.4,0.37,1.03,0.95,0.69,0.58,1.66,1.04,1.66,1.15,1.35,4.79,1.26,1.38,3.07,1.52
h_0,1.25,0.6,0.8,0.6,0.62,0.93,0.43,1.01,0.96,1.55,1.19,1.15,0.62,0.79,1.06,1.7
a_0,0.86,0.61,0.82,0.81,0.59,0.19,1.51,1.08,1.52,1.19,1.44,1.09,1.3,5.04,1.05,1.25
e_0,0.63,0.3,0.85,0.86,0.68,0.82,1.75,1.12,1.43,1.03,1.35,1.03,1.32,1.22,5.08,1.71
g_0,0.67,0.43,1.74,0.67,0.49,0.83,1.1,0.77,1.31,0.7,1.72,1.99,1.22,1.11,1.49,0.8
