,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.0,0.79,0.95,1.1,0.9,0.72,0.53,0.46,0.58,0.37,0.39,0.43,0.36,0.33,0.31,0.36
f_1,1.26,1.0,0.89,0.99,0.82,0.62,0.44,0.45,0.43,0.4,0.37,0.35,0.27,0.32,0.3,0.25
d_1,1.08,1.14,1.0,0.84,0.95,0.75,0.53,0.39,0.48,0.55,0.43,0.41,0.38,0.25,0.33,0.3
c_1,0.91,1.03,1.18,1.0,1.23,0.75,0.5,0.47,0.34,0.39,0.32,0.36,0.37,0.33,0.3,0.29
b_1,1.1,1.22,1.06,0.81,1.0,1.08,0.57,0.5,0.46,0.53,0.41,0.4,0.42,0.37,0.32,0.38
a_1,1.38,1.61,1.27,1.31,0.93,1.0,0.78,0.69,0.64,0.49,0.54,0.48,0.52,0.48,0.44,0.41
h_1,1.98,2.25,1.87,1.95,1.77,1.31,1.0,1.01,0.86,0.76,0.75,0.87,0.67,0.75,0.64,0.6
g_1,2.14,2.24,2.52,2.09,2.06,1.58,0.99,1.0,0.86,0.96,0.88,1.04,0.73,0.72,0.8,0.77
d_0,1.73,2.32,2.2,2.88,2.08,1.6,1.18,1.12,1.0,0.79,0.88,0.88,0.85,0.76,0.71,0.77
c_0,2.63,2.57,1.82,2.59,1.84,1.89,1.31,1.05,1.24,1.0,1.42,0.93,0.89,0.83,0.8,0.75
b_0,2.54,2.7,2.32,3.21,2.64,1.79,1.34,1.18,1.13,0.77,1.0,0.97,0.99,0.86,1.15,0.79
f_0,2.24,2.83,2.5,2.73,2.4,2.1,1.15,0.96,1.17,1.05,1.1,1.0,1.05,0.78,0.88,1.09
h_0,2.76,3.59,2.69,2.6,2.33,1.82,1.52,1.41,1.18,1.17,0.97,0.98,1.0,0.99,0.81,0.8
g_0,2.92,3.29,3.93,2.99,2.67,2.07,1.36,1.36,1.28,1.2,1.12,1.35,1.03,0.99,0.95,0.89
a_0,3.28,3.36,2.79,3.3,3.2,2.44,1.57,1.24,1.42,1.29,0.89,1.13,1.22,1.04,1.0,0.95
e_0,2.98,3.89,3.23,3.44,2.68,2.49,1.68,1.32,1.39,1.31,1.26,0.98,1.24,1.09,1.02,1.0
