,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.85,0.78,1.15,1.08,0.78,1.12,1.32,1.08,1.07,0.97,1.17,1.03,1.08,1.47,1.11
d_1,1.18,1.0,1.05,0.9,0.95,0.95,0.97,1.09,0.8,1.27,0.9,1.12,0.87,0.97,1.09,0.9
f_1,1.28,0.95,1.0,1.01,0.94,0.93,0.82,0.98,1.01,0.87,1.1,0.91,0.97,1.08,0.88,0.95
c_1,0.87,1.12,0.99,1.0,1.55,0.87,1.03,0.76,0.89,0.76,0.84,0.94,0.89,0.9,1.06,1.26
b_1,0.93,1.06,1.07,0.64,1.0,1.56,1.03,1.09,1.14,1.01,1.11,1.04,1.2,0.85,1.15,0.94
a_1,1.28,1.05,1.07,1.15,0.64,1.0,0.94,0.83,1.02,1.11,1.18,0.89,0.98,1.06,1.01,0.97
h_1,0.89,1.06,1.2,0.97,0.95,1.04,1.0,0.86,1.15,0.9,0.98,0.84,0.91,0.97,0.9,0.97
d_0,0.74,0.92,1.03,1.39,0.86,1.21,1.22,1.0,1.08,0.9,1.03,0.91,1.11,0.95,0.77,1.02
g_1,0.9,1.23,0.97,1.12,0.87,0.99,0.87,0.88,1.0,0.91,1.04,1.11,0.73,0.87,0.82,0.9
c_0,0.94,0.76,1.21,1.28,0.96,0.89,1.19,1.13,1.01,1.0,1.45,0.99,1.37,1.03,0.91,0.95
b_0,1.04,1.1,0.95,1.23,0.98,0.83,0.98,0.93,1.02,0.72,1.0,0.86,1.21,1.27,0.8,0.87
f_0,0.88,0.92,1.04,1.08,0.98,1.07,1.08,1.04,0.87,1.01,1.03,1.0,1.04,1.15,1.55,0.87
h_0,0.91,1.07,1.03,1.2,0.8,1.03,1.13,0.93,1.38,0.73,0.79,0.94,1.0,0.87,0.84,1.08
a_0,0.92,1.09,0.98,1.04,1.27,,1.01,1.05,1.31,0.92,0.73,0.97,1.14,1.0,0.96,0.98
e_0,0.74,1.02,1.18,1.02,0.93,1.04,1.08,1.26,1.24,1.05,1.23,0.66,1.19,1.05,1.0,1.18
g_0,0.87,1.08,1.1,0.84,1.03,1.02,1.04,1.02,1.13,1.06,1.13,1.2,0.94,0.98,0.89,1.04
