,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,2.27,0.24,0.22,0.18,0.22,0.16,0.4,0.37,0.95,0.12,0.55,0.47,0.62,0.61,0.31,0.29
e_1,0.16,2.26,0.22,0.27,0.21,0.2,0.39,0.34,0.5,0.89,0.5,0.47,0.59,0.52,0.33,0.08
f_1,0.24,0.44,2.3,0.23,0.14,0.15,0.47,0.26,0.4,0.5,0.42,0.13,0.57,0.4,0.31,0.3
c_1,0.19,0.22,0.25,2.4,0.35,0.16,0.48,0.37,0.12,0.49,0.23,0.32,0.67,0.57,0.4,0.47
b_1,0.25,0.24,0.27,0.21,2.55,0.32,0.34,0.33,0.37,0.45,0.14,0.41,0.58,0.53,0.22,0.36
a_1,0.27,0.25,0.22,0.24,0.2,3.07,0.31,0.31,0.46,0.42,0.49,0.51,0.61,0.43,,0.3
h_1,0.45,0.25,0.53,0.31,0.44,0.21,2.85,1.03,1.0,0.77,0.72,0.83,0.32,1.26,0.65,0.68
g_1,0.72,0.26,0.35,0.32,0.41,0.27,0.62,3.15,0.59,0.59,0.84,0.96,0.68,0.25,0.65,0.65
c_0,0.5,0.41,0.47,0.14,0.26,0.26,0.86,0.77,2.28,0.87,1.79,0.76,1.19,1.13,0.97,0.71
d_0,0.18,0.32,0.53,0.75,0.27,0.24,0.88,0.64,0.71,2.19,0.73,0.88,0.94,0.89,0.72,0.67
b_0,0.49,0.32,0.46,0.53,0.13,0.2,0.76,0.71,0.94,1.08,2.51,0.73,1.09,0.94,1.49,0.61
f_0,0.55,0.42,0.2,0.41,0.4,0.26,0.72,0.6,0.9,0.8,0.98,2.55,1.11,1.03,0.82,1.17
h_0,0.45,0.35,0.55,0.41,0.33,0.23,0.28,1.06,0.78,0.74,0.8,0.71,0.4,1.21,0.47,0.8
g_0,0.6,0.36,0.4,0.29,0.29,0.34,0.7,0.35,0.86,0.7,0.76,1.27,0.84,0.41,0.57,0.72
a_0,0.48,0.35,0.42,0.47,0.4,,0.75,0.68,0.74,0.79,0.78,0.87,1.28,0.82,3.04,0.72
e_0,0.58,0.11,0.38,0.38,0.45,0.29,0.81,0.73,0.96,0.86,0.91,0.85,1.16,0.85,0.79,3.08
