,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.86,0.85,1.1,0.86,0.75,0.48,0.56,0.45,0.37,0.39,0.41,0.4,0.37,0.42,0.37
f_1,1.17,1.0,0.86,1.05,0.88,0.74,0.36,0.43,0.48,0.37,0.36,0.32,0.29,0.27,0.26,0.33
d_1,1.17,1.17,1.0,0.8,0.95,0.7,0.52,0.54,0.4,0.59,0.46,0.37,0.42,0.31,0.36,0.27
c_1,0.91,0.96,1.25,1.0,1.16,0.68,0.56,0.33,0.46,0.4,0.36,0.42,0.4,0.35,0.33,0.29
b_1,1.17,1.13,1.06,0.86,1.0,1.11,0.6,0.51,0.42,0.46,0.44,0.43,0.34,0.38,0.37,0.41
a_1,1.33,1.35,1.43,1.45,0.91,1.0,0.74,0.69,0.65,0.59,0.66,0.59,0.57,0.5,0.4,0.46
h_1,2.03,2.72,2.02,1.83,1.61,1.42,1.0,0.86,0.97,0.76,0.85,0.72,0.69,0.62,0.51,0.69
d_0,1.78,2.19,1.91,3.03,1.92,1.63,1.17,1.0,0.99,0.84,0.88,0.92,0.8,0.65,0.66,0.83
g_1,2.13,2.1,2.55,2.22,2.34,1.49,1.03,1.0,1.0,0.87,0.91,1.16,0.72,0.73,0.65,0.88
c_0,2.66,2.59,1.77,2.65,1.98,1.75,1.3,1.2,1.16,1.0,1.35,1.04,0.79,0.88,0.8,0.77
b_0,2.46,2.85,2.23,2.71,2.18,1.58,1.23,1.11,1.11,0.76,1.0,0.85,0.88,1.14,0.79,0.79
f_0,2.5,2.82,2.65,2.28,2.38,1.61,1.45,1.03,0.91,0.96,1.13,1.0,0.85,0.93,1.34,0.64
h_0,2.59,3.38,2.42,2.4,2.73,1.94,1.43,1.22,1.36,1.2,1.11,1.19,1.0,0.81,0.81,1.09
a_0,2.74,3.4,3.32,2.95,2.4,2.4,1.61,1.47,1.46,1.21,0.89,1.09,1.21,1.0,0.97,1.08
e_0,2.52,3.95,2.72,3.11,2.65,2.52,1.93,1.45,1.42,1.21,1.34,0.81,1.19,1.06,1.0,1.08
g_0,2.71,2.93,3.88,3.33,2.6,2.24,1.41,1.18,1.16,1.28,1.32,1.57,0.91,0.98,0.94,1.0
