,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.25,0.91,1.03,1.04,0.86,0.81,1.0,0.89,1.16,0.97,0.86,0.82,1.03,0.97,0.93
e_1,0.8,1.0,0.91,0.98,1.03,1.05,1.14,1.42,0.92,0.92,1.22,1.14,1.23,0.94,1.15,1.34
d_1,1.1,1.1,1.0,0.86,1.17,0.77,0.99,0.97,1.42,0.71,0.9,1.04,1.04,1.07,0.95,0.87
c_1,0.97,1.02,1.16,1.0,1.29,0.94,0.84,0.7,0.73,1.03,0.85,1.01,1.01,1.02,1.08,1.01
b_1,0.96,0.97,0.85,0.77,1.0,1.51,1.23,1.1,1.07,1.04,1.31,1.04,1.07,0.83,0.9,1.23
a_1,1.17,0.95,1.3,1.06,0.66,1.0,0.97,1.03,0.93,1.24,0.92,1.11,0.95,,1.11,0.84
h_1,1.23,0.86,1.01,1.12,0.78,1.01,1.0,0.8,0.99,1.22,0.82,0.82,1.09,0.99,0.85,1.1
d_0,1.04,0.69,0.97,1.54,0.97,0.93,1.25,1.0,1.03,1.11,0.95,0.96,1.05,0.97,0.96,1.09
c_0,1.1,1.05,0.67,1.43,0.92,1.08,1.01,0.96,1.0,1.08,1.4,0.95,1.06,1.05,1.04,0.97
g_1,0.89,1.0,1.42,1.0,0.9,0.79,0.8,0.93,0.89,1.0,0.99,1.17,0.85,0.84,0.89,0.8
b_0,1.04,0.81,1.11,1.28,0.69,1.07,1.21,0.99,0.75,1.0,1.0,0.9,0.99,1.3,0.91,0.78
f_0,1.27,0.83,0.99,1.04,0.9,0.88,1.24,1.06,1.07,0.84,1.11,1.0,1.01,1.12,1.71,0.91
h_0,1.24,0.8,0.99,0.99,0.91,1.06,0.88,0.91,0.92,1.2,0.99,0.99,1.0,0.79,1.07,1.12
a_0,1.04,1.02,0.95,1.08,1.15,,1.01,0.98,1.03,1.25,0.78,0.88,1.24,1.0,0.86,0.86
e_0,1.06,0.87,1.09,1.0,1.13,0.94,1.24,1.06,0.97,0.99,1.09,0.57,0.94,0.98,1.0,1.09
g_0,1.06,0.73,1.18,1.02,0.77,1.15,0.91,0.93,1.01,,1.25,1.14,0.89,1.21,0.9,1.0
