,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.18,0.72,0.86,0.65,0.76,0.59,0.15,0.27,0.17,0.14,0.16,0.33,0.09,0.16,0.12,0.17
e_1,0.4,0.17,0.87,0.88,1.04,0.78,0.25,0.25,0.2,0.17,0.17,0.22,0.13,0.16,0.15,0.46
c_1,0.8,0.63,0.16,0.97,0.68,0.73,0.29,0.23,0.08,0.31,0.19,0.16,0.1,0.14,0.13,0.14
d_1,0.81,0.89,0.84,0.15,0.8,0.86,0.18,0.12,0.34,0.13,0.12,0.13,0.1,0.16,0.06,0.13
b_1,1.11,0.77,0.37,0.89,0.13,0.84,0.26,0.27,0.19,0.25,0.51,0.18,0.14,0.21,0.13,0.13
a_1,0.77,0.86,0.93,0.78,0.39,0.09,0.25,0.27,0.21,0.17,0.17,0.25,0.16,0.52,0.15,0.18
h_1,0.59,0.58,0.62,0.57,0.57,0.59,0.06,0.2,0.13,0.15,0.14,0.12,0.19,0.12,0.09,0.16
g_1,0.66,0.77,0.63,0.57,0.64,0.61,0.15,0.05,0.14,0.12,0.11,0.12,0.06,0.11,0.14,0.15
d_0,0.64,0.34,0.6,1.41,0.62,0.58,0.22,0.21,0.07,0.12,0.14,0.13,0.1,0.15,0.1,0.13
c_0,0.72,0.56,1.65,0.33,0.69,0.57,0.17,0.19,0.18,0.06,0.12,0.12,0.09,0.16,0.09,0.15
b_0,0.62,0.58,1.02,0.48,1.4,0.73,0.17,0.14,0.12,0.05,0.05,0.11,0.08,0.1,0.06,0.09
f_0,1.17,0.58,0.63,0.47,0.63,0.78,0.21,0.11,0.13,0.1,0.12,0.05,0.09,0.1,0.05,0.11
h_0,0.69,0.59,0.58,0.61,0.56,0.5,0.28,0.17,0.11,0.11,0.1,0.1,0.16,0.12,0.08,0.1
a_0,0.64,0.52,0.73,0.52,1.12,1.64,0.16,0.16,0.11,0.09,0.06,0.1,0.08,0.04,0.08,0.14
g_0,0.68,0.7,0.66,0.46,0.55,0.66,0.13,0.26,0.14,0.1,0.12,0.11,0.08,0.12,0.16,0.11
e_0,0.99,0.74,0.58,0.56,0.64,0.81,0.2,0.13,0.11,0.1,0.1,0.05,0.08,0.09,0.07,0.03
