,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.42,1.29,0.75,1.58,1.44,1.36,0.82,0.81,0.6,0.49,0.7,0.67,0.7,1.35,0.69,0.65
d_1,1.4,0.41,1.36,1.22,1.33,1.3,0.73,0.47,0.96,0.61,0.58,0.49,0.49,0.63,0.56,0.32
f_1,1.72,1.2,0.4,1.31,1.18,1.06,0.49,0.82,0.67,0.57,0.51,1.06,0.31,0.52,0.5,0.56
c_1,1.05,1.57,1.31,0.38,1.74,1.1,0.8,0.7,0.36,0.99,0.53,0.57,0.56,0.53,0.6,0.43
b_1,1.3,1.26,1.57,0.74,0.36,1.69,0.7,0.72,0.62,0.77,1.74,0.55,0.51,0.61,0.5,0.66
a_1,1.36,1.33,1.63,1.4,0.78,0.31,0.8,0.66,0.51,0.64,0.66,0.68,0.46,0.59,1.54,0.53
h_1,0.88,0.89,1.09,1.01,0.9,0.91,0.25,0.59,0.44,0.44,0.4,0.41,0.88,0.53,0.54,0.44
g_1,0.88,1.0,1.06,0.97,0.9,1.01,0.41,0.25,0.52,0.43,0.48,0.58,0.29,0.36,0.45,0.56
d_0,0.64,1.99,0.94,1.07,0.86,1.44,0.57,0.57,0.28,0.49,0.38,0.41,0.38,0.39,0.39,0.39
c_0,1.06,0.63,1.04,2.49,0.91,0.88,0.49,0.57,0.54,0.26,0.51,0.53,0.35,0.42,0.4,0.43
b_0,0.96,0.78,0.94,1.12,1.45,0.87,0.55,0.53,0.62,0.3,0.24,0.46,0.31,0.36,0.46,0.35
f_0,0.78,0.99,2.46,1.03,0.92,0.94,0.52,0.32,0.47,0.38,0.42,0.25,0.42,0.51,0.35,0.28
h_0,0.82,0.88,1.36,0.96,0.87,0.91,0.64,0.64,0.43,0.38,0.43,0.36,0.6,0.38,0.37,0.3
e_0,1.3,0.9,1.34,1.16,0.97,0.76,0.43,0.48,0.42,0.43,0.45,0.25,0.37,0.21,0.46,0.28
a_0,0.8,0.82,1.05,1.06,1.55,,0.5,0.58,0.54,0.41,0.23,0.47,0.43,0.36,0.2,0.35
g_0,0.84,1.19,0.92,1.19,0.91,0.94,0.36,0.74,0.4,0.45,0.42,0.38,0.35,0.43,0.45,0.64
