,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.5,0.39,0.46,0.55,0.49,0.35,0.52,0.55,0.52,0.81,0.51,0.52,0.6,0.46,0.2,0.56
f_1,0.76,1.51,0.4,0.45,0.49,0.35,0.49,0.49,0.49,0.54,0.49,0.18,0.53,0.42,0.35,0.46
d_1,0.37,0.55,1.54,0.38,0.38,0.46,0.57,0.48,0.88,0.29,0.55,0.53,0.66,0.55,0.45,0.61
c_1,0.38,0.47,0.46,1.57,0.73,0.38,0.55,0.62,0.22,0.51,0.53,0.5,0.6,0.41,0.55,0.52
b_1,0.51,0.49,0.47,0.39,1.6,0.65,0.52,0.47,0.74,0.67,0.29,0.53,0.62,0.42,0.52,0.46
a_1,0.55,0.5,0.51,0.49,0.32,1.74,0.72,0.5,0.62,0.63,0.75,0.59,0.76,0.33,0.56,0.53
h_1,0.83,0.92,0.62,0.77,0.61,0.52,1.68,1.0,0.89,0.72,0.76,0.93,0.62,0.81,0.57,1.15
g_1,0.76,0.62,1.14,0.6,0.59,0.59,0.72,1.74,0.8,0.78,0.88,1.52,0.82,0.53,0.71,0.5
c_0,0.84,0.99,0.75,0.55,0.56,0.58,0.93,0.79,1.5,0.91,1.33,1.04,1.06,0.86,0.85,0.91
d_0,0.67,0.99,0.45,1.22,0.59,0.58,0.9,0.83,0.69,1.46,0.82,0.89,1.13,0.68,0.76,0.86
b_0,0.88,0.82,0.9,0.72,0.46,0.45,0.92,0.84,0.81,1.08,1.58,0.93,0.91,1.39,0.59,0.94
f_0,0.79,0.68,0.88,0.88,0.68,0.59,0.83,0.62,0.96,0.98,0.93,1.61,1.1,0.91,1.43,0.92
h_0,0.78,1.17,0.87,0.77,0.56,0.52,0.51,1.02,0.74,0.88,1.05,0.84,0.71,1.05,0.91,1.1
a_0,0.93,0.83,0.84,0.9,0.75,,0.9,1.0,1.03,1.09,0.73,0.88,0.98,1.69,0.79,1.14
e_0,0.48,1.23,0.98,0.89,0.73,0.57,1.1,0.81,1.01,1.1,0.97,0.68,1.25,0.72,1.69,0.93
g_0,0.76,0.8,1.12,0.83,0.81,0.56,0.71,0.71,0.97,0.8,1.13,1.17,1.04,0.84,0.98,0.64
