,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.87,1.29,1.66,1.82,3.74,20.86,29.07,39.48,32.12,37.8,66.29,77.74,83.0,98.5,154.48
f_1,1.14,1.0,1.13,1.28,1.51,3.3,15.99,26.1,28.48,31.34,34.83,51.24,59.57,56.19,81.75,121.6
d_1,0.77,0.88,1.0,1.0,1.33,3.01,15.81,17.79,23.74,34.64,33.27,46.99,54.88,56.82,82.75,92.61
c_1,0.62,0.79,1.02,1.0,1.78,2.72,14.73,18.63,15.81,19.33,21.05,41.25,49.32,50.66,71.0,95.98
b_1,0.55,0.65,0.73,0.57,1.0,3.07,12.1,15.77,16.5,18.87,21.02,38.26,31.18,46.9,56.78,92.15
a_1,0.27,0.3,0.33,0.37,0.33,1.0,6.43,8.11,7.75,9.24,10.87,13.94,20.56,21.4,30.95,42.98
h_1,0.05,0.06,0.06,0.07,0.08,0.15,1.0,1.6,1.44,1.61,1.76,3.01,3.26,3.52,4.93,8.38
g_1,0.03,0.04,0.06,0.05,0.06,0.12,0.64,1.0,1.13,1.22,1.35,2.57,2.52,2.84,3.8,4.62
d_0,0.02,0.03,0.04,0.06,0.06,0.13,0.68,0.93,1.0,0.94,1.13,1.84,2.2,2.55,3.67,4.96
c_0,0.03,0.03,0.03,0.05,0.06,0.11,0.61,0.83,1.08,1.0,1.53,1.82,2.45,2.5,3.12,3.97
b_0,0.03,0.03,0.03,0.05,0.05,0.09,0.57,0.74,0.9,0.64,1.0,1.61,2.59,2.15,2.91,3.89
f_0,0.01,0.02,0.02,0.02,0.03,0.07,0.33,0.39,0.6,0.58,0.59,1.0,1.24,1.47,2.47,2.08
a_0,0.01,0.02,0.02,0.02,0.03,0.05,0.29,0.38,0.43,0.42,0.4,0.79,1.0,1.17,1.64,2.15
h_0,0.01,0.02,0.02,0.02,0.02,0.05,0.28,0.35,0.38,0.4,0.49,0.67,0.82,1.0,1.42,2.13
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.2,0.26,0.28,0.3,0.34,0.38,0.6,0.67,1.0,1.37
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.12,0.2,0.2,0.24,0.27,0.48,0.43,0.45,0.74,1.0
