,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.43,1.08,1.02,1.23,1.13,0.97,0.27,0.24,0.41,0.21,0.37,0.24,0.23,0.12,0.24,0.19
e_1,0.72,0.43,1.07,1.47,1.33,1.06,0.34,0.3,0.38,0.25,0.3,0.25,0.24,0.19,0.42,0.19
d_1,1.16,1.47,0.41,1.24,1.22,1.07,0.32,0.38,0.2,0.23,0.24,0.23,0.19,0.15,0.22,0.11
c_1,1.24,0.96,1.69,0.4,1.29,1.22,0.35,0.13,0.36,0.42,0.23,0.26,0.25,0.16,0.21,0.17
b_1,1.5,1.33,1.65,0.74,0.38,1.3,0.4,0.27,0.41,0.37,0.27,0.38,0.26,0.2,0.22,0.23
a_1,2.05,1.63,1.47,1.55,0.8,0.32,0.59,0.45,0.55,0.37,0.33,0.55,0.75,0.25,0.32,0.25
h_1,2.24,2.01,1.87,2.21,2.2,1.93,0.31,0.44,0.56,0.37,0.4,0.39,0.35,0.44,0.37,0.28
d_0,2.47,1.42,3.31,2.43,2.78,2.37,0.78,0.34,0.77,0.6,0.51,0.57,0.46,0.39,0.51,0.4
g_1,2.48,2.46,2.36,2.41,2.64,2.41,0.52,0.59,0.27,0.43,0.44,0.52,0.43,0.27,0.46,0.5
c_0,2.78,2.59,1.36,4.53,3.22,2.05,0.73,0.75,0.72,0.32,0.47,0.51,0.45,0.4,0.48,0.34
f_0,4.1,2.52,2.39,2.39,2.45,2.33,0.79,0.64,0.54,0.47,0.31,0.58,0.45,0.38,0.59,0.22
b_0,2.82,2.51,2.09,3.69,4.31,2.07,0.79,0.59,0.69,0.3,0.47,0.3,0.5,0.43,0.53,0.37
a_0,3.88,3.02,2.92,3.55,4.03,3.63,0.89,0.72,0.72,0.48,0.51,0.31,0.3,0.47,0.55,0.43
h_0,3.01,3.07,2.87,3.06,3.11,2.63,1.07,0.64,0.9,0.62,0.61,0.69,0.56,0.62,0.56,0.45
e_0,4.51,3.97,2.93,2.76,2.93,3.25,0.88,0.58,0.8,0.57,0.33,0.64,0.55,0.45,0.29,0.32
g_0,3.39,3.44,3.08,3.5,3.21,3.6,0.71,0.69,1.11,0.64,0.76,0.79,0.56,0.39,0.61,0.58
