,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,93.42,51.49,42.62,55.23,83.61,186.55,6396.9,10759.45,10736.72,14732.43,10342.1,22886.48,39740.86,85723.75,67525.9,109853.55
e_1,26.77,97.37,58.26,44.3,79.29,202.16,6160.12,17606.17,13560.45,16549.47,20621.28,24325.66,63100.92,53417.03,101354.29,91229.97
c_1,29.18,22.63,139.59,46.17,128.95,168.46,5691.36,7649.68,9082.0,4052.03,15629.08,16363.02,44668.67,55634.84,75128.15,116223.22
d_1,24.34,27.69,37.05,148.24,65.09,152.13,6402.19,4828.11,9148.1,22098.46,18825.04,18533.67,38521.19,80000.75,73579.71,83575.08
b_1,23.64,21.02,28.35,41.84,227.54,240.9,4187.47,8180.63,7842.55,8958.33,12634.21,8474.77,37939.98,60453.77,68760.55,78397.63
a_1,17.89,16.57,33.13,30.92,35.76,450.98,3244.44,7080.33,5483.24,7862.99,9153.79,12369.31,29070.39,49924.79,23925.73,58192.55
h_1,11.22,7.48,13.9,12.83,23.95,50.2,3734.53,2628.17,4338.81,5070.45,3883.86,5719.33,8964.61,20134.03,22583.38,35236.8
d_0,8.32,6.32,19.49,7.42,20.59,42.08,1891.63,4346.11,2672.26,4038.66,5872.86,5695.64,12371.86,16948.34,18410.12,37158.2
g_1,7.15,6.1,10.45,16.95,19.14,47.89,1341.64,2290.98,5927.69,2702.3,5992.79,5433.88,9676.12,24203.01,21051.48,18965.1
c_0,6.91,7.43,7.1,11.06,19.76,39.43,1340.2,2204.51,3074.25,5871.74,4143.7,8675.77,10331.81,23830.56,23150.1,21058.76
f_0,3.95,5.19,11.57,12.73,19.82,43.18,1549.06,2003.07,2026.59,3613.18,6949.24,5118.06,10037.7,35715.98,17006.15,25091.97
b_0,6.01,6.43,11.63,8.38,9.69,35.12,1532.14,2082.92,2721.22,2924.11,3767.65,8038.23,9265.39,16592.03,28232.94,21177.65
h_0,6.6,4.17,7.31,7.48,13.93,31.5,783.31,1584.72,2317.09,2324.06,3016.67,4333.88,5701.0,14330.99,12840.72,19274.42
e_0,3.32,2.68,6.99,5.72,13.02,24.18,1014.91,1872.98,1455.51,2135.96,2140.87,3693.54,6610.35,24048.35,14280.75,16599.65
a_0,4.59,3.02,7.13,7.03,11.06,15.78,983.46,1614.47,1281.26,1831.64,2000.45,2793.42,6929.14,12685.77,23973.14,15827.94
g_0,2.82,3.99,5.69,9.16,11.87,22.38,838.17,815.06,741.45,1919.36,2706.47,3105.15,5456.46,11078.26,9376.69,8273.89
