,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,94.6,73.27,88.63,183.94,236.65,386.66,12615.28,21661.48,24332.08,44598.44,35603.01,49217.18,118967.59,99138.85,126738.14,216449.09
f_1,85.74,108.6,75.67,148.47,206.28,393.45,10229.17,18326.39,21784.02,28754.98,32340.49,34951.33,103382.58,89241.35,92690.06,171170.3
d_1,58.37,73.97,123.59,111.54,203.79,391.12,11441.73,30696.76,20996.89,24876.02,35468.63,43317.25,110494.56,100067.5,142180.47,174590.27
c_1,45.86,56.26,73.01,186.18,270.14,342.19,8638.42,13662.36,19646.06,18907.7,24522.79,35659.45,86492.55,64661.35,102101.7,144319.98
b_1,39.55,53.29,61.94,93.34,267.86,464.04,7756.96,14218.03,16282.93,18232.92,19313.77,29760.54,78447.75,54150.4,86143.62,129660.02
a_1,36.62,43.36,49.42,79.95,107.03,437.8,7591.64,12377.12,15222.48,15197.12,22776.45,29110.97,70772.16,58664.41,86182.79,109246.62
h_1,13.56,21.53,21.23,32.45,53.37,82.27,3580.09,4876.98,6452.23,6707.63,7957.23,10984.57,23683.33,23896.54,32635.55,54707.32
c_0,12.14,16.55,16.19,27.28,42.34,77.34,2547.34,5267.76,5174.7,6455.88,10617.81,9343.04,24810.83,23938.56,27939.31,40240.38
g_1,10.73,13.4,21.4,23.61,45.2,76.95,1949.42,4225.59,6315.34,4751.03,6280.66,9823.57,18893.02,19301.8,25364.29,29284.62
d_0,10.11,13.61,13.39,39.56,48.69,70.36,2059.97,3167.08,4644.52,6073.75,6393.46,8093.68,20698.56,17527.73,24229.19,35793.62
b_0,11.52,13.53,15.34,26.51,37.07,48.78,2088.38,3327.14,4061.65,4722.0,7349.87,7843.26,18671.86,28949.69,23984.43,32550.21
f_0,8.15,10.88,13.96,24.99,38.9,65.19,1887.3,3478.51,3666.21,5003.11,5567.89,9070.95,18511.93,17461.2,34859.82,28693.89
h_0,7.99,10.67,10.48,17.49,28.92,47.59,1161.54,2476.16,3476.43,3587.36,4575.96,5171.31,12434.89,11979.32,15675.76,26559.74
a_0,7.44,10.1,11.02,20.14,31.13,32.62,1479.95,2670.15,3009.96,3595.27,3480.04,5452.06,14799.21,16456.01,15766.66,22104.94
e_0,6.31,10.93,8.64,16.21,25.52,45.32,1341.68,2535.37,2682.15,3114.74,4042.86,4505.54,13294.62,11757.14,20630.73,21833.13
g_0,5.74,7.51,11.16,15.89,23.73,40.15,1094.2,2275.64,2420.53,2767.7,3956.51,6295.81,11039.74,10416.05,14501.82,17401.42
