,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.07,4.09,3.42,3.1,2.66,2.46,1.0,0.93,1.63,0.77,1.67,0.87,0.72,0.62,0.8,0.82
e_1,2.04,1.07,2.55,4.18,3.93,3.16,1.26,1.2,1.19,1.08,1.06,1.03,0.74,0.82,1.11,0.73
d_1,3.52,4.31,1.07,3.68,2.99,3.26,1.21,2.39,0.8,1.37,0.93,0.86,0.78,0.64,0.92,0.48
c_1,3.73,3.24,4.14,1.07,4.15,2.92,1.37,0.65,1.33,2.31,0.9,0.99,1.08,0.72,0.9,0.8
b_1,4.8,3.41,4.96,2.29,1.07,3.81,1.46,1.29,1.47,1.23,1.38,2.22,1.14,0.92,0.95,0.95
a_1,6.44,5.09,4.8,5.65,3.14,1.07,2.6,2.07,1.7,1.89,1.64,2.44,,1.18,1.24,1.19
h_1,8.39,6.93,7.16,6.73,6.79,5.27,1.37,1.96,2.56,1.75,1.87,1.89,1.64,2.81,1.64,1.64
d_0,9.87,5.14,13.36,10.1,9.97,6.7,3.63,1.67,3.41,2.89,2.48,2.61,2.56,2.24,2.31,2.37
g_1,7.99,8.73,10.53,9.78,8.04,8.35,2.96,2.82,1.38,2.02,2.29,2.99,1.99,1.69,2.34,2.98
c_0,9.99,8.24,5.39,18.99,10.05,8.07,3.63,2.81,4.08,1.62,2.55,2.89,2.94,2.24,2.43,2.11
f_0,21.69,8.72,9.5,10.4,8.23,8.09,4.23,2.95,3.17,2.54,1.64,2.95,2.23,2.32,3.03,1.47
b_0,11.42,9.07,8.86,11.43,22.36,6.03,4.01,3.1,3.02,1.78,2.56,1.62,3.3,2.68,2.82,2.29
a_0,19.02,12.64,13.43,12.37,12.92,,5.41,3.79,4.91,2.75,3.22,1.96,1.75,2.83,3.39,2.69
h_0,13.07,11.55,13.82,12.79,12.36,11.8,8.36,3.58,4.47,3.33,3.14,3.27,3.51,4.8,3.38,2.8
e_0,16.64,24.92,10.77,12.05,12.21,11.28,5.64,3.02,4.67,3.6,2.01,3.68,3.1,2.69,1.68,2.17
g_0,13.53,15.05,16.55,12.64,15.51,13.21,4.72,4.14,7.58,4.44,4.92,3.95,3.55,2.76,4.57,
