,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.88,0.74,1.05,1.0,0.67,0.49,0.51,0.58,0.4,0.48,0.39,0.4,0.4,0.35,0.34
d_1,1.1,1.0,1.05,0.81,0.82,0.74,0.46,0.4,0.41,0.52,0.38,0.42,0.34,0.32,0.33,0.25
f_1,1.35,0.95,1.0,0.98,0.79,0.61,0.43,0.48,0.46,0.4,0.34,0.38,0.26,0.26,0.32,0.33
c_1,0.97,1.23,1.02,1.0,1.32,0.78,0.5,0.51,0.34,0.38,0.4,0.35,0.39,0.31,0.29,0.28
b_1,1.0,1.21,1.29,0.79,1.0,1.31,0.56,0.53,0.46,0.56,0.44,0.5,0.41,0.4,0.28,0.36
a_1,1.46,1.36,1.61,1.26,0.77,1.0,0.71,0.65,0.59,0.6,0.51,0.66,0.48,0.43,0.51,0.45
h_1,2.05,2.15,2.35,2.04,1.81,1.46,1.0,1.11,0.86,0.8,0.85,0.77,0.74,0.74,0.64,0.72
g_1,1.99,2.49,2.0,2.0,1.85,1.55,0.92,1.0,0.89,0.89,1.01,0.86,0.65,0.72,0.63,0.62
d_0,1.76,2.47,2.08,2.93,2.07,1.78,1.21,1.14,1.0,0.88,0.87,0.76,0.8,0.77,0.66,0.72
c_0,2.48,1.93,2.5,2.62,1.76,1.63,1.24,1.14,1.22,1.0,0.99,1.27,0.89,0.83,0.92,0.68
f_0,2.07,2.59,2.8,2.51,2.14,2.03,1.18,0.98,1.16,1.0,1.0,1.01,0.97,1.28,0.72,0.67
b_0,2.54,2.27,2.59,2.7,2.03,1.53,1.32,1.18,1.24,0.81,1.09,1.0,0.9,0.83,1.06,0.84
h_0,2.6,2.92,3.73,2.67,2.43,2.04,1.31,1.59,1.24,1.1,1.06,1.18,1.0,0.93,0.83,0.91
e_0,2.55,3.21,3.97,3.12,2.68,2.24,1.41,1.42,1.31,1.21,0.83,1.18,1.07,1.0,0.94,0.87
a_0,2.92,2.96,3.17,3.55,3.53,1.97,1.63,1.56,1.57,1.06,1.36,0.94,1.18,1.05,1.0,0.97
g_0,3.08,3.84,3.19,3.52,2.68,2.27,1.43,1.62,1.42,1.47,1.49,1.26,1.12,1.17,0.96,1.01
