,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,10839.74,4648.49,5885.9,10433.8,12312.19,46127.26,5739486.66,9730758.9,15780026.93,33950685.54,26380842.9,36386601.29,124806948.8,108771525.77,112054963.36,410035567.31
f_1,6804.35,12114.07,5967.13,8677.85,10465.55,41258.78,6046448.57,8403479.22,15336569.67,18897601.79,26039161.7,19048310.63,104244292.05,85501167.58,130840852.21,291580086.0
d_1,3697.02,4816.93,19841.11,6365.01,9505.22,53692.26,7366026.67,10115284.82,32511351.75,11731034.13,33297682.5,36450313.4,122480638.86,134093873.6,197045603.23,454709055.64
c_1,3397.32,4293.55,6129.59,27442.0,22762.64,42562.86,5812571.05,8849252.06,7976999.77,20719821.93,19518845.25,30724702.17,105565051.0,81002482.49,203141525.76,301795328.32
b_1,3930.71,4629.31,5741.56,8378.63,39549.75,89025.71,6037842.92,8943255.62,15891871.09,20411694.98,17947040.05,31685033.54,110086405.39,80516822.99,203118576.6,304674127.98
a_1,4361.93,4152.64,7031.44,8794.52,10335.98,221492.4,8368219.63,9429256.53,19780408.16,21843075.85,31294405.74,35466481.06,131583525.13,78859977.93,218960210.72,344142276.44
h_1,4566.96,6227.71,8492.9,8732.36,9749.77,48574.78,14812050.97,12547835.92,19691618.29,19150450.03,28091793.48,41508078.57,90642391.8,114821690.44,181213225.02,536788706.77
g_1,3948.12,3962.1,10578.59,9095.26,11256.04,55087.19,6706434.3,23151104.98,21126762.99,18421473.23,31593829.56,63842836.47,120998046.82,101944030.0,230596373.72,275352925.76
c_0,4376.72,5626.39,8461.21,7259.77,10046.26,48071.67,8204311.57,10759368.27,32610304.11,20359115.51,54352559.59,39698542.72,133024961.12,161261900.62,234621413.32,495797223.32
d_0,4331.37,5430.79,4633.91,17739.98,14087.38,47854.87,7392731.37,9453802.26,12127939.3,33087811.55,25619494.72,35125690.25,126446423.22,89507843.79,184510799.58,357708427.73
b_0,4500.8,4951.08,9077.85,9936.0,9206.62,34215.4,8308729.53,10974225.09,20632503.26,20222068.36,55989811.87,39734998.11,153049436.93,245649304.61,193297028.13,470831092.94
f_0,3537.0,4605.17,7995.84,10587.08,12154.5,50533.03,8084155.81,11854872.78,21651392.31,24216551.0,34461915.3,68057531.88,142685574.25,129362192.02,420437306.97,429879263.9
h_0,4526.21,7001.52,7750.54,8850.87,10779.55,37782.43,5908131.12,14560573.16,18144161.16,22358822.86,31637168.15,34634912.14,113248311.7,148136095.37,209567821.74,510337949.66
a_0,4569.5,5312.67,8153.4,9988.61,10249.87,39070.69,8463513.38,12476497.2,23903143.17,24632449.86,32206049.94,40037538.09,136021252.56,242229592.72,232886020.81,492080735.12
e_0,2930.54,6144.67,8343.1,11178.08,13007.0,54000.43,8848258.81,11308982.62,18654315.29,21589874.05,31154638.4,30635042.67,136843874.46,92308536.22,452059615.94,407229488.36
g_0,3460.77,4437.75,12065.04,9698.12,11203.37,52874.58,6985158.52,10183574.87,20978205.93,18561178.02,35694384.24,54820056.02,126148278.65,131147286.32,219959560.3,351212597.45
