,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,111.53,56.45,64.5,56.65,114.93,273.67,9272.02,8918.65,14162.66,28702.21,31450.23,31000.6,69587.86,93719.49,93865.91,106754.26
e_1,44.46,116.75,51.35,79.32,113.78,280.74,9242.7,25638.5,16882.98,17050.63,29459.97,32601.86,79421.02,89519.65,73417.38,107283.34
f_1,49.35,80.32,123.42,63.73,92.38,267.37,7246.18,14101.56,16419.49,16453.08,14838.9,25221.76,52364.8,73819.71,60982.16,82361.23
c_1,49.14,47.45,56.12,137.71,164.55,198.93,7292.02,12349.21,13158.2,9112.84,24541.53,19652.57,73192.3,68013.65,71974.62,118107.45
b_1,40.61,38.07,44.21,45.88,219.04,330.74,7344.19,10440.27,10936.63,13782.22,19923.27,14673.82,49381.63,47501.95,76787.96,93910.26
a_1,31.04,30.98,28.2,39.92,63.37,439.44,6121.92,10716.46,10710.09,11816.37,20254.56,19533.0,48840.5,32267.03,69415.18,63600.22
h_1,13.52,11.02,20.66,18.01,25.44,49.88,3711.21,3685.31,5584.35,4058.45,6218.69,7030.52,13507.26,20327.44,21276.6,31706.72
d_0,8.92,9.57,12.41,24.47,28.8,59.06,1906.36,4644.43,2896.94,2824.01,5638.21,5886.05,15009.54,13283.14,17138.58,23149.81
g_1,14.81,9.97,10.61,12.7,23.52,48.31,1266.85,3373.33,6052.66,3431.42,7769.66,6232.04,15420.94,19314.23,20869.58,14104.89
c_0,9.31,11.12,14.15,11.45,19.58,46.61,2176.55,3832.98,3162.91,5481.74,6312.24,11870.33,16377.96,19591.07,21580.47,28024.47
f_0,9.41,8.26,8.79,13.41,22.28,44.59,1645.89,2965.97,2967.64,2860.35,7551.98,5584.23,14125.62,14817.87,27933.98,16427.18
b_0,9.54,8.91,13.02,14.27,10.98,32.46,1530.1,3054.64,2691.04,2362.01,5196.47,7730.55,14050.41,26207.45,17276.6,17121.65
h_0,8.25,6.75,11.7,8.6,15.29,31.51,886.9,2121.77,2374.78,2208.8,3819.44,3934.16,7870.01,9777.63,12059.26,16810.32
a_0,7.07,6.34,8.32,8.1,13.29,20.2,1279.37,2162.59,1543.98,2368.55,4179.19,2835.17,10251.54,17582.41,12909.46,14051.27
e_0,7.53,3.84,8.57,9.16,12.32,28.55,1263.66,2074.03,1797.67,2119.01,3018.45,3547.56,9705.36,10654.49,19022.9,14779.78
g_0,8.88,5.65,7.33,6.92,12.4,29.51,1018.31,1583.21,1723.53,2056.78,5181.53,4095.12,9152.92,10293.37,10720.02,11562.98
