,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,5.6,2.37,1.49,1.19,1.04,1.06,4.59,5.02,3.62,5.87,5.48,2.1,7.33,4.1,6.22,5.69
e_1,1.65,5.66,1.36,1.03,1.23,1.15,4.68,11.77,5.47,5.94,8.02,6.99,10.1,3.0,8.96,8.98
c_1,1.18,1.22,6.38,1.35,2.52,1.23,4.21,5.17,4.48,1.65,4.01,5.44,7.69,5.58,5.26,9.61
d_1,1.41,1.37,0.96,7.18,1.12,1.0,5.52,2.23,4.66,12.88,7.39,5.98,10.72,7.57,6.19,10.57
b_1,1.16,1.17,1.23,1.35,7.55,2.87,3.84,6.03,3.91,5.15,2.05,7.26,10.05,7.67,4.63,9.3
a_1,1.51,1.2,1.31,1.51,1.06,10.38,4.56,6.16,4.37,5.08,6.87,6.53,10.71,8.33,3.38,8.97
h_1,2.15,1.41,1.53,1.58,1.57,1.35,15.72,6.43,7.69,7.62,6.85,7.04,5.15,9.64,6.22,14.2
d_0,1.79,1.27,3.22,0.79,1.64,1.14,6.31,14.47,6.76,5.59,7.49,6.69,12.42,9.51,8.88,12.86
g_1,1.49,1.12,1.47,2.65,1.55,1.56,5.73,6.65,20.48,8.49,8.63,10.83,10.59,9.42,7.1,7.22
c_0,1.96,1.6,1.15,1.94,0.95,1.35,5.69,7.08,6.25,16.98,16.94,9.9,11.86,8.24,9.42,10.83
b_0,1.93,1.67,1.65,1.76,1.06,1.15,6.9,7.18,6.55,7.3,19.27,8.21,10.33,8.09,16.35,12.58
f_0,0.9,1.26,1.92,1.77,1.72,1.76,6.66,8.55,6.76,6.91,8.12,20.7,12.0,17.01,6.7,14.94
h_0,2.0,1.56,1.71,1.56,1.64,1.62,2.94,7.16,7.94,8.69,7.51,6.86,7.65,10.48,6.83,18.46
e_0,1.9,0.51,2.44,1.48,1.83,1.82,6.91,6.4,6.02,8.45,7.71,9.74,13.18,25.26,6.34,14.36
a_0,1.71,1.55,2.07,1.49,1.57,0.82,6.29,8.04,6.89,8.33,7.67,7.61,12.82,9.6,25.64,15.36
g_0,1.3,1.26,1.8,2.66,1.77,1.36,6.26,6.59,3.73,7.56,6.94,13.58,10.21,9.99,6.52,7.26
