,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.43,1.84,1.94,1.78,1.59,1.5,0.45,0.31,0.7,0.31,0.33,0.3,0.24,0.36,0.16,0.28
f_1,1.55,0.43,1.67,1.9,1.77,1.72,0.33,0.53,0.37,0.32,0.29,0.58,0.16,0.28,0.3,0.3
e_1,2.13,0.96,0.43,1.92,1.7,1.82,0.58,0.58,0.39,0.4,0.41,0.41,0.26,0.34,0.25,0.63
c_1,2.52,1.88,1.67,0.39,1.79,1.79,0.52,0.49,0.21,0.63,0.37,0.42,0.31,0.32,0.26,0.38
b_1,1.97,2.41,1.81,1.07,0.38,2.05,0.62,0.6,0.43,0.48,0.98,0.41,0.31,0.53,0.33,0.4
a_1,1.94,3.23,2.39,2.77,1.2,0.32,0.85,0.89,0.59,0.52,0.59,0.45,0.44,1.28,0.43,0.52
h_1,2.86,2.78,2.59,2.65,3.62,2.51,0.32,0.85,0.56,0.47,0.55,0.54,0.72,0.52,0.49,0.57
g_1,2.65,3.13,3.18,2.86,3.89,2.64,0.62,0.3,0.66,0.67,0.67,0.65,0.35,0.62,0.63,0.6
d_0,4.79,3.32,1.71,3.48,3.39,3.25,0.86,1.05,0.37,0.65,0.76,0.57,0.54,0.56,0.5,0.67
c_0,1.59,3.5,3.09,8.98,3.58,3.27,1.06,0.99,0.9,0.39,0.74,0.64,0.52,0.56,0.42,0.64
b_0,2.73,3.74,3.11,4.95,5.5,2.8,1.0,0.9,0.66,0.35,0.35,0.64,0.43,0.54,0.45,0.55
f_0,2.85,6.42,3.57,3.39,3.38,3.67,1.05,0.65,0.87,0.71,0.84,0.34,0.55,0.76,0.33,0.85
h_0,3.51,3.82,4.28,3.47,4.37,3.51,1.6,1.07,0.87,0.75,0.7,0.82,0.81,0.7,0.55,0.66
a_0,3.57,4.38,4.28,3.64,4.36,6.02,1.11,1.48,1.06,0.68,0.48,0.66,0.57,0.32,0.61,0.78
g_0,4.01,4.31,4.38,5.04,4.05,3.35,0.99,2.4,0.89,0.94,0.85,0.84,0.46,0.86,0.88,0.88
e_0,3.6,6.99,7.72,4.54,4.05,4.07,1.06,1.03,0.72,0.74,1.11,0.36,0.71,0.95,0.52,0.31
