,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,2.44,0.18,0.27,0.3,0.33,0.21,0.56,0.49,0.98,0.69,0.58,0.59,0.67,,0.94,0.52
f_1,0.46,2.47,0.25,0.25,0.27,0.25,0.6,0.49,0.61,0.68,,0.66,0.87,0.58,0.46,0.63
d_1,0.26,0.29,2.5,0.25,0.27,0.24,0.49,0.37,,1.07,0.61,0.72,0.76,0.7,0.78,0.64
c_1,0.23,0.32,0.3,2.5,0.38,0.33,0.47,0.53,0.63,,0.63,0.61,0.73,0.6,0.75,0.69
b_1,0.28,0.3,0.3,0.26,2.64,0.37,0.52,0.55,0.54,0.67,0.56,,0.98,0.65,0.58,
a_1,0.35,0.26,0.27,0.22,0.25,3.21,0.63,0.5,0.62,0.72,0.59,0.68,0.59,,0.82,
h_1,0.59,0.72,0.54,0.52,0.48,0.55,3.85,1.06,1.17,1.25,1.17,1.23,,1.01,1.67,0.94
g_1,0.4,0.45,0.89,0.55,0.49,0.5,1.27,4.13,1.08,0.95,1.29,1.46,1.34,1.13,,1.21
d_0,0.53,0.63,,1.04,0.74,0.59,1.24,1.43,3.45,1.18,1.38,1.17,2.08,,1.65,1.27
c_0,0.61,0.63,0.48,,0.56,0.53,1.08,1.16,1.58,3.5,1.7,2.67,1.66,1.32,1.71,1.59
f_0,0.64,,0.67,0.61,0.8,0.59,0.93,1.33,1.52,1.24,3.76,0.86,1.52,2.67,1.35,1.58
b_0,0.67,0.6,0.53,0.56,,0.65,1.23,1.06,1.44,0.98,2.0,3.8,1.98,1.39,1.88,2.25
h_0,0.88,0.79,0.67,0.86,0.58,0.76,,2.07,1.33,1.77,1.64,1.57,,1.44,3.07,1.54
e_0,,0.61,0.54,0.66,0.62,,1.45,1.54,,1.46,0.89,1.39,2.04,4.67,1.52,1.41
g_0,0.5,0.98,1.02,0.69,0.75,0.96,1.67,,1.77,1.83,2.31,0.98,1.7,1.63,,
a_0,0.56,0.74,0.61,0.53,,,1.37,1.29,1.56,1.29,1.17,1.09,2.14,1.52,,4.58
