,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,6.0,3.73,1.94,2.2,2.07,1.82,7.13,10.71,6.72,8.68,9.72,6.82,14.82,11.75,14.92,9.47
e_1,2.34,6.03,1.8,3.07,2.12,2.04,8.16,17.71,8.02,10.18,11.77,11.7,14.0,11.21,15.69,7.17
d_1,2.23,2.22,6.5,1.7,2.06,2.54,7.74,6.54,8.17,18.11,13.2,12.73,18.12,11.26,16.89,11.73
c_1,2.35,1.95,2.24,6.72,3.98,2.4,7.08,8.48,8.73,5.4,6.82,10.87,17.4,10.71,14.39,9.88
b_1,2.05,1.97,2.15,2.64,7.73,4.56,7.29,9.79,7.84,9.34,7.22,10.71,14.76,8.4,16.24,10.43
a_1,2.36,2.17,2.25,2.32,2.1,11.32,9.33,10.68,8.72,10.63,13.26,11.4,16.07,9.27,16.91,11.12
h_1,3.2,2.25,2.42,2.64,2.34,2.4,16.63,11.09,11.56,10.07,11.5,11.12,13.42,11.75,23.22,11.98
d_0,2.54,2.32,1.69,4.49,2.53,1.93,9.29,17.59,7.7,8.11,10.65,12.91,16.53,12.46,18.96,13.45
g_1,2.45,2.06,3.78,2.31,2.22,2.42,7.99,7.76,21.61,10.34,11.55,18.18,16.19,11.69,12.44,12.48
c_0,2.7,2.6,2.91,1.88,1.58,2.13,9.33,11.92,8.64,19.13,24.26,12.61,18.7,17.76,20.26,14.45
b_0,2.7,2.57,2.94,2.39,1.37,1.75,10.38,12.79,9.77,12.99,21.42,14.52,18.27,26.64,21.3,14.8
f_0,1.86,1.99,2.7,2.55,2.96,2.48,10.21,12.56,10.05,12.18,13.23,21.94,18.62,12.69,16.94,26.64
h_0,3.23,2.23,2.61,2.48,2.71,2.04,6.71,9.58,13.02,9.35,10.94,12.34,14.82,12.26,22.07,11.41
a_0,2.72,2.46,2.7,2.77,2.37,1.71,10.07,12.64,9.33,10.71,12.44,12.69,18.96,25.48,17.91,12.23
g_0,2.19,2.3,3.55,2.67,2.37,2.74,8.44,10.36,7.41,10.88,12.73,18.24,17.87,11.5,12.36,14.25
e_0,2.8,1.64,2.93,2.43,2.53,2.4,10.54,10.36,11.48,10.99,13.35,12.79,20.44,12.4,17.54,31.28
