,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.67,0.86,1.39,1.42,1.28,1.22,0.66,0.6,0.55,0.49,0.47,0.54,0.49,0.41,0.52,0.44
f_1,1.47,0.66,1.22,1.33,1.1,1.11,0.43,0.69,0.49,0.48,0.47,0.62,0.4,0.28,0.38,0.35
d_1,1.4,1.44,0.64,1.23,1.28,1.25,0.59,0.42,0.71,0.56,0.54,0.46,0.46,0.37,0.47,0.26
c_1,1.1,1.41,1.61,0.64,1.65,1.25,0.64,0.55,0.32,0.57,0.46,0.45,0.47,0.36,0.41,0.37
b_1,1.51,1.71,1.48,0.86,0.62,1.5,0.7,0.69,0.53,0.57,0.78,0.65,0.4,0.48,0.53,0.49
a_1,1.68,1.88,1.7,1.79,0.99,0.56,0.89,0.97,0.62,0.66,0.76,0.48,1.16,0.55,0.59,0.63
h_1,1.95,2.25,1.88,1.95,1.92,1.64,0.57,0.95,0.71,0.73,0.74,0.75,0.62,0.77,0.59,0.64
g_1,2.16,2.42,2.15,2.26,1.96,1.67,0.73,0.55,0.88,0.78,0.8,0.83,0.8,0.64,0.68,0.65
d_0,1.38,2.22,2.66,2.83,2.37,2.28,1.05,0.94,0.61,0.74,0.82,0.68,0.74,0.66,0.82,0.68
c_0,2.33,2.24,1.31,3.67,2.74,1.99,1.08,1.08,1.13,0.58,0.95,0.79,0.81,0.76,0.81,0.58
b_0,2.14,2.28,1.82,2.89,3.05,1.78,1.0,1.0,0.89,0.48,0.57,0.78,0.9,0.74,0.78,0.67
f_0,2.42,3.61,2.21,2.6,2.17,2.45,1.08,0.76,1.05,0.83,0.8,0.56,0.77,0.85,0.93,0.48
a_0,2.3,2.85,2.6,2.5,3.51,2.45,1.14,1.01,0.9,0.76,0.58,0.8,0.59,0.82,0.98,0.83
h_0,2.34,3.17,2.51,2.71,2.23,1.98,1.52,1.06,0.91,0.81,0.89,0.77,0.77,0.94,0.86,0.79
e_0,3.84,3.59,2.45,2.62,2.7,2.18,1.25,1.16,0.99,0.89,1.02,0.49,0.76,0.66,0.57,0.67
g_0,3.07,3.1,2.8,3.13,2.54,2.19,0.97,1.76,1.04,0.99,1.07,1.03,0.8,0.65,0.85,0.96
