,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.8,1.08,1.04,0.9,0.97,0.68,0.68,0.92,0.59,0.59,0.6,0.6,0.53,0.5,0.61
f_1,1.25,1.0,1.1,0.95,0.9,0.75,0.54,0.68,0.67,0.71,0.67,0.49,0.5,0.49,0.47,0.53
c_1,0.93,0.91,1.0,1.09,1.26,0.87,0.85,0.69,0.5,0.59,0.55,0.72,0.58,0.59,0.57,0.63
d_1,0.96,1.05,0.92,1.0,1.07,0.9,0.73,0.58,0.9,0.72,0.93,0.64,0.48,0.52,0.65,0.38
b_1,1.11,1.12,0.8,0.94,1.0,1.38,0.76,0.67,0.61,0.68,0.8,0.53,0.57,0.68,0.62,0.83
a_1,1.03,1.33,1.15,1.11,0.73,1.0,1.06,0.83,0.79,0.87,0.69,0.8,0.86,0.76,0.62,0.63
h_1,1.47,1.95,1.18,1.34,1.31,0.91,1.0,1.16,0.96,0.86,0.78,0.82,0.89,0.88,0.96,1.0
g_1,1.5,1.46,1.44,1.7,1.58,1.15,0.86,1.0,0.88,0.99,0.9,1.18,0.73,0.78,0.88,0.86
d_0,1.13,1.46,2.11,1.11,1.7,1.25,1.02,1.12,1.0,1.2,0.82,0.95,0.87,1.05,0.98,0.95
b_0,1.64,1.44,1.7,1.39,1.51,1.17,1.07,1.04,0.84,1.0,0.78,1.06,1.44,1.0,0.85,0.86
c_0,1.72,1.51,2.0,1.1,1.25,1.63,1.31,1.07,1.19,1.37,1.0,1.04,1.05,1.19,1.02,0.87
f_0,1.6,2.09,1.45,1.48,1.82,1.32,1.19,0.89,1.1,0.94,0.92,1.0,1.01,1.08,1.2,0.72
a_0,1.58,1.88,1.67,1.97,1.84,1.05,1.07,1.36,1.23,0.73,0.9,0.97,1.0,1.12,0.8,0.99
h_0,1.8,1.96,1.68,1.85,1.42,1.25,1.17,1.33,0.93,0.99,0.89,0.96,0.94,1.0,0.72,0.97
e_0,1.95,2.08,1.74,1.57,1.68,1.39,1.03,1.13,1.09,1.2,1.03,0.9,1.26,1.34,1.0,1.01
g_0,1.75,1.76,1.56,2.53,1.28,1.54,1.01,1.18,1.03,1.18,1.09,1.35,1.02,1.0,0.99,1.0
