,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.0,1.11,0.89,0.95,0.79,0.6,0.65,0.62,0.66,0.59,0.49,0.54,0.5,0.45,0.57
c_1,1.0,1.0,0.86,1.28,1.12,0.83,0.62,0.51,0.55,0.7,0.48,0.57,0.52,0.59,0.56,0.56
e_1,0.91,1.15,1.0,1.01,0.86,0.81,0.76,0.92,0.64,0.68,0.66,0.7,0.57,0.62,0.55,0.64
b_1,1.12,0.8,0.97,1.0,1.04,1.26,0.77,0.59,0.73,0.73,0.66,0.63,0.54,0.59,0.6,0.58
d_1,1.03,0.92,1.13,0.95,1.0,0.9,0.71,0.72,0.85,0.54,0.75,0.7,0.7,0.6,0.58,0.5
a_1,1.24,1.16,1.27,0.81,1.12,1.0,0.89,0.87,0.75,0.84,0.79,0.73,0.68,0.69,0.68,0.69
h_1,1.61,1.61,1.34,1.35,1.38,1.14,1.0,0.94,0.92,1.17,0.88,0.86,0.78,0.94,0.75,0.87
d_0,1.58,1.96,1.1,1.67,1.39,1.1,1.05,1.0,0.83,0.99,0.78,0.89,0.79,0.89,0.96,0.84
c_0,1.63,1.77,1.57,1.38,1.19,1.28,1.16,1.26,1.0,0.93,1.25,0.97,1.19,0.99,0.96,0.8
g_1,1.48,1.5,1.47,1.38,1.81,1.13,0.83,0.98,1.07,1.0,0.93,1.09,0.87,0.79,0.9,0.85
b_0,1.7,2.04,1.5,1.57,1.41,1.25,1.18,1.25,0.84,1.03,1.0,0.98,1.3,0.95,0.91,0.87
f_0,1.94,1.78,1.51,1.55,1.39,1.38,1.14,1.1,1.05,0.88,1.05,1.0,0.99,1.03,1.23,0.74
a_0,1.85,1.96,1.69,1.96,1.47,1.46,1.31,1.27,0.9,1.22,0.82,1.05,1.0,1.08,0.98,0.91
h_0,1.93,1.74,1.57,1.74,1.72,1.4,1.09,1.08,0.99,1.18,1.03,0.96,0.98,1.0,0.93,1.0
e_0,2.25,1.81,1.95,1.62,1.69,1.45,1.35,1.09,1.11,1.09,1.15,0.78,1.03,1.09,1.0,0.89
g_0,1.75,1.77,1.56,1.72,1.99,1.52,1.17,1.17,1.19,1.2,1.15,1.31,1.09,0.98,1.14,1.0
