,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,21.57,0.68,0.37,0.37,0.27,0.32,0.83,0.57,0.81,0.65,0.69,0.14,0.84,0.71,0.47,0.77
e_1,0.38,22.98,0.26,0.4,0.36,0.29,0.71,0.45,0.72,1.72,0.79,0.83,0.95,0.94,0.23,0.99
d_1,0.3,0.33,28.5,0.29,0.32,0.43,0.8,0.82,1.61,0.14,0.88,0.88,0.82,0.75,0.75,1.02
c_1,0.35,0.29,0.35,28.48,0.73,0.33,0.63,0.69,0.12,0.78,0.64,0.83,0.92,0.74,0.98,0.68
b_1,0.35,0.31,0.32,0.44,32.23,0.65,0.58,0.79,0.75,0.69,0.18,0.81,0.81,0.58,0.78,0.82
a_1,0.33,0.26,0.31,0.29,0.43,48.87,0.89,0.92,0.84,1.01,0.99,0.84,0.83,0.31,0.61,0.97
h_1,0.93,0.6,0.55,0.65,0.57,0.56,10.56,1.98,1.35,1.21,1.63,1.24,0.65,1.9,1.62,2.11
g_1,0.47,0.48,1.29,0.5,0.63,0.68,0.85,12.83,1.93,0.8,1.81,3.2,1.35,1.44,1.65,0.65
c_0,0.85,0.53,0.81,0.26,0.48,0.58,1.59,1.55,5.55,1.74,3.5,2.31,1.74,1.48,1.6,2.17
d_0,0.73,0.62,0.14,1.58,0.6,0.49,1.57,1.13,0.95,5.46,1.47,1.01,2.03,1.28,1.64,1.47
b_0,0.75,0.7,0.79,0.56,0.23,0.49,1.74,1.71,1.77,1.32,6.94,1.88,1.71,2.69,2.04,1.48
f_0,0.25,0.52,0.73,0.5,0.6,1.14,1.46,1.63,1.4,1.69,2.13,8.5,2.35,1.86,6.4,1.61
h_0,1.14,0.56,0.65,0.57,0.63,0.6,,1.41,1.22,1.0,1.36,1.35,0.39,1.42,1.82,1.66
a_0,0.82,0.57,0.84,1.0,0.55,,1.11,0.93,1.64,1.37,1.57,1.36,2.11,8.53,1.13,1.54
e_0,0.68,0.18,1.06,0.61,0.47,0.63,1.5,2.41,1.52,2.11,1.78,2.02,2.01,2.84,12.12,1.32
g_0,0.58,0.5,1.35,0.69,0.52,0.51,1.41,0.68,1.12,1.2,1.54,2.22,1.52,1.48,2.23,
