,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,0.44,0.92,0.95,0.78,0.72,0.2,0.23,0.17,0.18,0.16,0.17,0.12,0.15,0.48,0.13
f_1,0.79,0.17,0.71,0.74,0.7,0.82,0.17,0.32,0.13,0.13,0.18,0.28,0.08,0.16,0.12,0.14
d_1,0.81,0.94,0.15,0.86,0.85,0.66,0.22,0.12,0.12,0.42,0.13,0.14,0.1,0.15,0.13,0.07
c_1,0.63,0.8,0.91,0.14,0.81,0.74,0.22,0.26,0.31,0.08,0.17,0.14,0.11,0.17,0.14,0.12
b_1,0.7,0.76,1.01,0.41,0.13,1.03,0.28,0.27,0.22,0.18,0.34,0.18,0.19,0.18,0.16,0.12
a_1,0.82,0.88,0.65,0.84,0.43,0.1,0.24,0.24,0.19,0.18,0.24,0.2,0.17,0.51,0.19,0.14
h_1,0.67,0.65,0.56,0.68,0.71,0.47,0.06,0.2,0.13,0.12,0.13,0.14,0.16,0.11,0.1,0.1
g_1,0.58,0.8,0.54,0.64,0.73,0.63,0.14,0.05,0.14,0.14,0.13,0.15,0.07,0.14,0.12,0.11
c_0,0.69,0.65,0.3,1.79,0.69,0.61,0.17,0.18,0.06,0.21,0.13,0.13,0.11,0.13,0.16,0.08
d_0,0.36,0.67,1.2,0.6,0.6,0.64,0.21,0.18,0.14,0.07,0.14,0.13,0.09,0.12,0.12,0.1
b_0,0.6,0.66,0.5,0.73,1.23,0.49,0.2,0.16,0.07,0.14,0.06,0.12,0.07,0.11,0.13,0.07
f_0,0.58,1.49,0.55,0.69,0.64,0.58,0.15,0.09,0.12,0.12,0.12,0.05,0.1,0.14,0.17,0.06
h_0,0.55,0.67,0.6,0.59,0.62,0.48,0.29,0.18,0.12,0.11,0.14,0.11,0.13,0.12,0.12,0.08
a_0,0.54,0.75,0.45,0.94,0.77,1.02,0.16,0.2,0.11,0.18,0.06,0.13,0.07,0.04,0.18,0.08
e_0,1.25,0.87,0.58,0.48,0.51,0.59,0.18,0.17,0.12,0.12,0.15,0.07,0.08,0.13,0.04,0.09
g_0,0.55,0.7,0.49,0.71,0.7,0.74,0.11,0.3,0.11,0.16,0.13,0.12,0.07,0.11,0.13,0.13
