,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.48,0.69,0.85,0.58,0.67,0.51,0.79,1.24,0.73,0.82,0.63,0.79,0.9,0.71,0.45,0.85
f_1,1.08,1.49,0.69,0.63,0.6,0.44,0.63,0.75,0.66,0.6,0.58,0.39,0.69,0.74,0.51,0.71
c_1,0.65,0.69,1.54,0.79,1.03,0.55,0.82,0.66,0.36,0.49,0.56,0.6,0.72,0.54,0.79,0.76
d_1,0.79,0.78,0.49,1.57,0.61,0.6,0.81,0.57,1.26,1.02,0.73,0.81,0.89,0.71,0.7,0.78
b_1,0.63,0.8,0.65,0.74,1.61,1.02,0.79,0.95,0.79,0.52,0.55,0.79,0.87,0.65,0.65,0.68
a_1,0.7,0.93,0.8,0.74,0.53,1.76,0.91,1.02,1.1,0.96,0.74,0.78,1.15,0.5,0.84,0.81
h_1,0.87,1.31,0.93,0.86,0.79,0.7,1.74,0.84,1.03,1.0,1.0,1.02,0.68,0.76,0.91,1.18
d_0,0.89,0.9,1.65,0.61,0.84,0.64,1.15,1.58,0.84,1.03,0.94,0.96,1.11,0.89,0.93,1.17
c_0,1.16,1.1,0.71,0.86,0.8,0.7,1.12,1.18,1.63,1.61,0.96,1.09,1.2,1.0,0.97,0.98
b_0,1.17,1.23,1.15,0.81,0.51,0.56,1.15,1.26,1.11,1.7,1.01,0.95,1.28,1.75,0.95,1.26
g_1,0.97,1.03,0.95,1.16,0.92,0.72,1.21,0.91,1.21,1.11,1.92,1.29,0.97,0.97,0.95,0.81
f_0,0.77,0.96,1.13,1.08,0.79,0.74,1.24,1.26,1.13,1.18,1.15,1.8,1.39,0.89,1.87,1.13
h_0,0.96,1.35,1.09,1.04,0.82,0.76,0.94,1.07,1.19,1.1,1.46,0.97,1.0,0.9,0.98,1.34
a_0,1.14,1.07,1.22,1.0,0.83,0.51,1.32,1.39,1.11,0.93,1.24,1.2,1.28,1.75,1.12,1.29
e_0,0.74,1.32,0.94,1.23,0.87,0.8,1.15,1.03,1.19,1.09,1.26,0.94,1.46,1.03,1.77,1.23
g_0,0.84,0.98,1.15,1.44,1.07,0.73,1.15,1.03,1.27,0.99,0.73,1.61,1.23,0.9,1.05,1.0
