,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.09,0.99,0.89,0.99,0.97,1.01,0.85,1.0,1.25,1.07,1.02,1.01,1.09,0.85,1.02
f_1,0.92,1.0,1.28,1.03,0.92,0.89,0.85,1.01,1.0,0.91,0.89,0.85,0.87,0.91,1.1,0.75
e_1,1.0,0.79,1.0,1.13,1.05,1.04,1.09,1.09,1.37,1.04,1.1,1.1,0.97,1.03,1.03,1.0
c_1,1.14,0.95,0.88,1.0,1.34,0.87,0.98,1.07,0.7,0.78,0.77,1.09,1.07,0.91,0.96,0.96
b_1,1.02,1.09,0.95,0.77,1.0,1.43,0.96,0.93,0.98,1.05,1.03,1.02,1.03,0.98,1.1,1.05
a_1,1.01,1.12,0.95,1.13,0.72,1.0,1.21,1.18,1.07,1.03,1.13,0.98,1.21,1.23,1.15,1.12
h_1,0.99,1.18,0.96,1.02,0.97,0.84,1.0,1.19,0.88,0.87,0.84,0.88,1.08,0.94,1.15,0.97
g_1,1.19,0.98,0.92,0.96,1.02,0.85,0.83,1.0,0.95,1.01,0.98,1.2,0.86,0.93,0.89,1.1
d_0,0.98,1.0,0.74,1.5,1.0,0.89,1.1,1.02,1.0,0.88,1.03,0.86,1.07,0.85,0.98,1.1
c_0,0.79,1.13,0.97,1.23,0.92,0.98,1.17,1.02,1.2,1.0,1.43,0.99,1.14,1.06,0.96,1.18
b_0,0.97,1.09,0.93,1.23,0.89,0.88,1.15,0.98,0.94,0.69,1.0,0.98,0.99,1.25,1.06,0.9
f_0,0.98,1.07,0.92,0.93,0.94,1.06,1.08,0.81,1.03,1.03,1.05,1.0,0.99,1.05,0.82,1.63
h_0,1.02,1.17,1.01,0.92,0.95,0.87,0.93,1.13,0.94,0.87,0.97,1.0,1.0,0.94,1.15,0.86
a_0,0.98,1.13,1.01,1.05,1.01,0.78,1.09,1.11,1.11,0.96,0.84,0.88,1.06,1.0,1.01,0.88
g_0,1.15,0.95,0.95,1.0,0.92,0.88,0.87,1.08,0.92,1.01,1.01,1.24,0.88,1.01,1.0,1.1
e_0,0.98,1.29,1.02,0.99,1.04,0.89,1.01,0.89,0.86,0.8,1.13,0.68,1.12,1.0,0.9,1.0
